,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R018,0.1086,-0.1126,-0.0058,0.0337,0.0060,0.0432,0.0371,0.0199,0.0359,-0.1205,-0.0059,0.1002,0.0066,0.0192,0.6908,0.7362,0.7426,1.0000,0.7227,0.7428,0.7688,0.7331,0.7786,0.7520,0.6866,0.7111,0.3066,0.2345,0.1790,0.2882,0.2339,0.2622,0.2820,0.2837,0.1973,0.3356,0.1619,0.1381,0.1714,0.1933,0.0530,0.1324,0.1733,0.1589,0.1803,0.1973,0.1099,0.0507,0.1452,0.1236,0.2624,0.2349,0.2862,0.2171,0.2581,0.1570,0.2230,0.1666,0.2396,0.2475,0.0895,0.0846,0.0219,-0.0476,0.0357,-0.0861,-0.0077,0.0550
R019,0.0512,-0.1132,-0.0168,-0.0037,-0.0232,-0.0355,-0.0075,0.0056,0.0280,-0.0792,-0.0418,0.0696,0.0132,0.0345,0.6845,0.6797,0.7212,0.7227,1.0000,0.7148,0.7247,0.7106,0.7567,0.6485,0.6936,0.5895,0.1958,0.1599,0.0767,0.1590,0.1477,0.1798,0.1844,0.1977,0.1017,0.2223,0.0612,0.0058,0.0541,0.0436,-0.0146,0.0419,0.0315,-0.0082,0.0552,0.0710,-0.0485,-0.0898,0.0563,-0.0133,0.1608,0.1527,0.1861,0.1222,0.1938,0.0932,0.1301,0.1131,0.1137,0.1563,0.0716,0.0587,0.0337,-0.0393,0.0615,-0.0392,0.0085,0.0983
R020,0.0808,-0.0983,-0.0395,0.0180,-0.0296,-0.0282,0.0164,-0.0084,0.0265,-0.1271,-0.0304,0.0670,0.0196,0.0166,0.7359,0.7298,0.7743,0.7428,0.7148,1.0000,0.7918,0.7548,0.7613,0.7544,0.6830,0.7136,0.2066,0.1197,0.0857,0.1909,0.1299,0.1784,0.1743,0.2081,0.1102,0.2041,0.1614,0.1627,0.1435,0.1834,0.0893,0.1370,0.1812,0.1440,0.1813,0.2007,0.1007,0.0528,0.2013,0.1114,0.2562,0.1942,0.2221,0.2001,0.2493,0.1740,0.1866,0.1783,0.2164,0.2430,0.0499,0.0067,-0.0503,-0.1132,0.0160,-0.1205,-0.0575,0.0026
R021,0.0614,-0.1043,-0.0422,0.0590,-0.0109,0.0185,0.0311,0.0034,0.0390,-0.1055,-0.0365,0.0862,-0.0228,0.0045,0.7165,0.7050,0.7802,0.7688,0.7247,0.7918,1.0000,0.7624,0.7503,0.7541,0.7127,0.6891,0.1901,0.0896,0.0379,0.1641,0.1037,0.1596,0.1216,0.1775,0.0730,0.1692,0.1227,0.0812,0.1076,0.0923,0.0128,0.0637,0.1171,0.0566,0.1055,0.1026,0.0454,0.0172,0.1037,0.0324,0.2003,0.1827,0.2612,0.1704,0.2366,0.1272,0.1846,0.1922,0.2097,0.2556,-0.0236,0.0032,-0.0435,-0.1104,-0.0026,-0.1721,-0.0918,-0.0750
R022,0.0994,-0.0665,-0.0119,0.0642,0.0318,0.0062,0.0727,0.0650,0.0898,-0.0581,0.0044,0.1275,0.0280,0.0395,0.7099,0.7745,0.7500,0.7331,0.7106,0.7548,0.7624,1.0000,0.7664,0.7407,0.7235,0.6611,0.2139,0.1626,0.1084,0.2213,0.1768,0.1691,0.1878,0.2347,0.1437,0.2108,0.1294,0.0558,0.0861,0.1379,0.0445,0.0894,0.1450,0.0938,0.1337,0.1152,0.0640,0.0075,0.1242,0.0543,0.2025,0.1839,0.1988,0.1620,0.2275,0.1075,0.1580,0.1234,0.1779,0.2475,0.0405,-0.0192,-0.0476,-0.1393,0.0066,-0.1346,-0.0659,-0.0482
R023,0.0872,-0.1099,-0.0443,0.0048,0.0236,0.0014,0.0444,0.0361,0.0333,-0.0900,-0.0331,0.0847,-0.0225,0.0001,0.7028,0.7605,0.7511,0.7786,0.7567,0.7613,0.7503,0.7664,1.0000,0.7646,0.7143,0.7171,0.2866,0.2358,0.1626,0.2740,0.2589,0.2520,0.2181,0.2806,0.2048,0.2971,0.1299,0.0892,0.0841,0.1358,0.0104,0.0611,0.1277,0.0954,0.1185,0.1412,0.0267,-0.0224,0.1046,0.0470,0.2079,0.1635,0.2179,0.1543,0.2043,0.1131,0.1597,0.1521,0.2067,0.2040,0.1059,0.0647,0.0103,-0.0633,0.0785,-0.0470,-0.0043,0.0389
R024,0.0516,-0.1408,-0.0623,-0.0081,0.0056,-0.0516,-0.0081,-0.0004,0.0017,-0.1157,-0.0536,0.0496,-0.0493,-0.0292,0.6984,0.7019,0.6760,0.7520,0.6485,0.7544,0.7541,0.7407,0.7646,1.0000,0.6747,0.6797,0.2260,0.1224,0.1013,0.1878,0.1707,0.1775,0.1417,0.2153,0.0905,0.1812,0.1088,0.0597,0.1127,0.1033,0.0267,0.0876,0.1344,0.0921,0.1515,0.1019,0.0298,-0.0131,0.1042,0.0280,0.1947,0.1692,0.2251,0.1691,0.2196,0.1605,0.2046,0.1846,0.1928,0.2245,0.0274,0.0077,-0.0464,-0.1134,0.0157,-0.0886,-0.0265,0.0030
R025,0.1452,-0.0730,0.0042,0.0673,0.0274,0.0216,0.0950,0.1149,0.1207,-0.0421,-0.0056,0.1539,0.0606,0.0823,0.6226,0.6916,0.7050,0.6866,0.6936,0.6830,0.7127,0.7235,0.7143,0.6747,1.0000,0.6591,0.2049,0.1629,0.0887,0.2310,0.1735,0.1920,0.1796,0.2317,0.1447,0.2450,0.1564,0.0755,0.1407,0.1495,0.0535,0.1117,0.1642,0.0543,0.1370,0.1251,0.0790,0.0442,0.1197,0.0554,0.2033,0.2201,0.2663,0.2033,0.2957,0.1853,0.2018,0.1671,0.2305,0.2731,0.0525,-0.0701,-0.0444,-0.1319,-0.0183,-0.1394,-0.1119,0.0045
R026,0.1567,-0.0374,0.0296,0.1343,0.0851,0.0829,0.1373,0.1295,0.1421,0.0053,0.0734,0.1603,0.0835,0.0193,0.6543,0.6580,0.7360,0.7111,0.5895,0.7136,0.6891,0.6611,0.7171,0.6797,0.6591,1.0000,0.2556,0.2436,0.1784,0.2960,0.2907,0.2479,0.2684,0.3197,0.2024,0.3015,0.1992,0.1740,0.2109,0.2317,0.0881,0.1707,0.2040,0.1690,0.1847,0.2313,0.1175,0.0970,0.1977,0.1417,0.3239,0.2705,0.3601,0.2723,0.3199,0.2473,0.2812,0.2682,0.3408,0.2862,0.0678,0.0608,-0.0174,-0.0855,0.0360,-0.0412,-0.0140,0.0620
R027,0.3844,0.3645,0.3950,0.3013,0.3779,0.4071,0.4297,0.3249,0.4107,0.3209,0.3943,0.4333,0.2776,0.3553,0.2720,0.2825,0.1994,0.3066,0.1958,0.2066,0.1901,0.2139,0.2866,0.2260,0.2049,0.2556,1.0000,0.7681,0.7597,0.7349,0.7700,0.7727,0.7311,0.7770,0.7438,0.7463,0.2047,0.2071,0.1843,0.1905,0.1694,0.1827,0.2405,0.2453,0.1617,0.2574,0.1659,0.1401,0.1262,0.2029,0.2149,0.2609,0.4008,0.3955,0.2566,0.2760,0.2842,0.2412,0.2354,0.3550,0.1535,0.1816,0.0944,0.0727,0.0959,0.1662,0.0442,0.1561
R028,0.4020,0.4083,0.4261,0.3524,0.3758,0.4296,0.4491,0.3430,0.4200,0.3882,0.4505,0.4489,0.3025,0.3526,0.1768,0.2264,0.1498,0.2345,0.1599,0.1197,0.0896,0.1626,0.2358,0.1224,0.1629,0.2436,0.7681,1.0000,0.7988,0.7463,0.7914,0.7980,0.7801,0.8086,0.7906,0.7815,0.2555,0.2745,0.2060,0.2320,0.1787,0.2472,0.2397,0.2706,0.2136,0.3100,0.1800,0.1680,0.1484,0.2605,0.2507,0.2901,0.3976,0.4290,0.2780,0.2857,0.2602,0.3296,0.2621,0.3664,0.2892,0.2323,0.2069,0.1094,0.1838,0.2892,0.1557,0.2142
R029,0.4040,0.4261,0.4230,0.3406,0.3952,0.4103,0.4454,0.3081,0.4502,0.3841,0.4500,0.4495,0.2885,0.3419,0.1200,0.1624,0.0657,0.1790,0.0767,0.0857,0.0379,0.1084,0.1626,0.1013,0.0887,0.1784,0.7597,0.7988,1.0000,0.7956,0.7962,0.7939,0.7566,0.8141,0.8216,0.7894,0.2485,0.3038,0.2401,0.2905,0.2390,0.3013,0.2795,0.2808,0.2633,0.3488,0.2591,0.2059,0.2118,0.2983,0.2868,0.2889,0.3984,0.4659,0.2998,0.3216,0.3027,0.3352,0.2850,0.3969,0.1996,0.2046,0.1497,0.0689,0.1507,0.2213,0.1079,0.1714
R030,0.4134,0.3850,0.3969,0.3339,0.3631,0.4132,0.4322,0.3453,0.4401,0.3647,0.4577,0.4828,0.3061,0.3287,0.2027,0.3010,0.1893,0.2882,0.1590,0.1909,0.1641,0.2213,0.2740,0.1878,0.2310,0.2960,0.7349,0.7463,0.7956,1.0000,0.7819,0.7422,0.7781,0.7865,0.7442,0.7977,0.2703,0.2839,0.2462,0.2831,0.2270,0.2957,0.2752,0.2479,0.2366,0.3510,0.2330,0.2032,0.2293,0.2791,0.2706,0.3328,0.4529,0.4514,0.2998,0.3450,0.3292,0.2795,0.2942,0.4039,0.2083,0.1185,0.0649,-0.0170,0.1141,0.1578,0.0399,0.1250
R031,0.4663,0.4153,0.4193,0.3787,0.4404,0.4501,0.4690,0.3649,0.4547,0.4269,0.4838,0.5042,0.3497,0.3776,0.2089,0.2368,0.1641,0.2339,0.1477,0.1299,0.1037,0.1768,0.2589,0.1707,0.1735,0.2907,0.7700,0.7914,0.7962,0.7819,1.0000,0.7805,0.8014,0.8194,0.7748,0.8106,0.2144,0.2429,0.1929,0.2398,0.1731,0.2082,0.2415,0.2016,0.1808,0.2826,0.1788,0.1361,0.1612,0.2396,0.2899,0.3186,0.4689,0.4771,0.3515,0.3785,0.3449,0.2900,0.3118,0.4442,0.2144,0.1666,0.1006,0.0324,0.1292,0.2080,0.0883,0.1769
R032,0.3825,0.3656,0.3661,0.3165,0.3896,0.4089,0.3907,0.3059,0.4112,0.3634,0.4166,0.4661,0.2736,0.3257,0.2209,0.2425,0.1975,0.2622,0.1798,0.1784,0.1596,0.1691,0.2520,0.1775,0.1920,0.2479,0.7727,0.7980,0.7939,0.7422,0.7805,1.0000,0.7720,0.8153,0.7338,0.7956,0.2371,0.2677,0.2101,0.2341,0.1602,0.2218,0.2729,0.2183,0.2194,0.3069,0.1964,0.1532,0.1413,0.2510,0.2497,0.2982,0.4052,0.4633,0.3200,0.2970,0.2873,0.2947,0.2556,0.3878,0.2216,0.1823,0.1448,0.0397,0.1251,0.2176,0.0522,0.1720
R033,0.4208,0.3841,0.3984,0.2996,0.3800,0.3617,0.4109,0.3229,0.4141,0.3890,0.4328,0.4649,0.2887,0.3527,0.2536,0.2458,0.1715,0.2820,0.1844,0.1743,0.1216,0.1878,0.2181,0.1417,0.1796,0.2684,0.7311,0.7801,0.7566,0.7781,0.8014,0.7720,1.0000,0.8037,0.7446,0.8041,0.2117,0.2250,0.1734,0.2337,0.1219,0.2348,0.2243,0.1975,0.1770,0.2620,0.1685,0.1351,0.1325,0.2156,0.2889,0.3008,0.4409,0.4206,0.3393,0.3213,0.2814,0.2526,0.2670,0.3627,0.2435,0.1681,0.1229,0.0715,0.1330,0.2176,0.1006,0.1815
R034,0.4357,0.4018,0.4432,0.3676,0.4051,0.4518,0.4488,0.3781,0.4649,0.4232,0.4743,0.4985,0.3232,0.3661,0.2566,0.3150,0.2165,0.2837,0.1977,0.2081,0.1775,0.2347,0.2806,0.2153,0.2317,0.3197,0.7770,0.8086,0.8141,0.7865,0.8194,0.8153,0.8037,1.0000,0.7823,0.8185,0.1876,0.1917,0.1280,0.1975,0.1059,0.2105,0.2012,0.1572,0.1206,0.2300,0.1179,0.1126,0.0789,0.1826,0.2476,0.2646,0.4179,0.4421,0.2879,0.3137,0.2967,0.2793,0.2873,0.3714,0.1585,0.1128,0.0888,0.0061,0.0790,0.1719,0.0410,0.1141
R035,0.3815,0.3708,0.3646,0.3022,0.3596,0.3612,0.4100,0.2884,0.4136,0.3522,0.4256,0.4169,0.2328,0.3124,0.1687,0.1922,0.1195,0.1973,0.1017,0.1102,0.0730,0.1437,0.2048,0.0905,0.1447,0.2024,0.7438,0.7906,0.8216,0.7442,0.7748,0.7338,0.7446,0.7823,1.0000,0.7501,0.2321,0.3154,0.2165,0.2717,0.2406,0.2996,0.2710,0.3000,0.2233,0.3397,0.2411,0.2401,0.2250,0.3195,0.2228,0.2763,0.3811,0.4249,0.2998,0.2959,0.2662,0.3103,0.2410,0.3391,0.2207,0.1802,0.1277,0.0574,0.1084,0.2062,0.1005,0.1759
R036,0.3871,0.3385,0.3667,0.3017,0.3593,0.3799,0.4127,0.3146,0.3810,0.3155,0.4021,0.4401,0.2736,0.3227,0.2189,0.2910,0.2208,0.3356,0.2223,0.2041,0.1692,0.2108,0.2971,0.1812,0.2450,0.3015,0.7463,0.7815,0.7894,0.7977,0.8106,0.7956,0.8041,0.8185,0.7501,1.0000,0.2535,0.2486,0.2141,0.2446,0.1783,0.2841,0.2435,0.2358,0.2227,0.3151,0.2288,0.1503,0.1708,0.2340,0.3202,0.3668,0.4904,0.5065,0.3657,0.3567,0.3442,0.3247,0.3051,0.4334,0.2242,0.2026,0.1511,0.0750,0.1672,0.1977,0.1088,0.2002
R037,0.1460,0.2484,0.2103,0.1904,0.1324,0.2157,0.1529,0.1385,0.1504,0.1342,0.1681,0.2195,0.1667,0.1746,0.0973,0.1477,0.1456,0.1619,0.0612,0.1614,0.1227,0.1294,0.1299,0.1088,0.1564,0.1992,0.2047,0.2555,0.2485,0.2703,0.2144,0.2371,0.2117,0.1876,0.2321,0.2535,1.0000,0.7638,0.7588,0.7668,0.8018,0.7740,0.7664,0.7393,0.7864,0.7529,0.7824,0.7266,0.7574,0.7426,0.3295,0.4074,0.3443,0.3753,0.3814,0.2832,0.3063,0.3516,0.4349,0.3859,0.2308,0.2225,0.2576,0.1232,0.2477,0.1800,0.1906,0.1983
R038,0.2098,0.3285,0.2480,0.2473,0.1603,0.2640,0.2382,0.1706,0.2330,0.1731,0.2290,0.2743,0.1952,0.2049,0.0891,0.0920,0.1364,0.1381,0.0058,0.1627,0.0812,0.0558,0.0892,0.0597,0.0755,0.1740,0.2071,0.2745,0.3038,0.2839,0.2429,0.2677,0.2250,0.1917,0.3154,0.2486,0.7638,1.0000,0.7792,0.7819,0.7959,0.7927,0.7761,0.7894,0.8002,0.8242,0.7994,0.7743,0.8050,0.8077,0.3303,0.4062,0.3498,0.4041,0.3771,0.2875,0.3196,0.3271,0.4069,0.3912,0.2159,0.2783,0.2739,0.1277,0.3037,0.1811,0.2443,0.2439
R039,0.1213,0.2387,0.1913,0.2072,0.1379,0.2376,0.1503,0.1042,0.1546,0.1019,0.1358,0.2213,0.1315,0.1134,0.1297,0.1304,0.1337,0.1714,0.0541,0.1435,0.1076,0.0861,0.0841,0.1127,0.1407,0.2109,0.1843,0.2060,0.2401,0.2462,0.1929,0.2101,0.1734,0.1280,0.2165,0.2141,0.7588,0.7792,1.0000,0.7775,0.7856,0.7614,0.7746,0.7466,0.7881,0.7602,0.7791,0.7680,0.7870,0.7843,0.3137,0.4034,0.3820,0.3919,0.3729,0.2895,0.3231,0.3258,0.3959,0.3921,0.1443,0.1882,0.2414,0.0612,0.2200,0.1074,0.1406,0.2075
