,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090,R091,R092,R093,R094,R095,R096,R097,R098,R099,R100
R011,0.8543,0.8490,0.8669,0.8140,0.8559,0.8625,0.8361,0.8400,0.8663,0.8262,1.0000,0.7960,0.8713,0.8002,0.3715,0.3690,0.3476,0.3481,0.3542,0.3014,0.3474,0.3402,0.3214,0.3642,0.3497,0.4012,0.2357,0.3716,0.2497,0.3475,0.2251,0.2781,0.2252,0.4067,0.1962,0.2870,0.2027,0.3239,-0.0984,-0.0767,-0.0926,-0.0336,-0.1921,-0.0398,-0.1193,-0.1289,0.0237,-0.0445,-0.0597,-0.1190,0.1062,0.2775,0.2967,0.1254,0.0716,0.1653,0.1714,0.0804,0.1447,0.0441,0.1645,0.1993,0.0157,0.1764,0.1491,0.1643,0.0488,0.0690,0.0817,0.2322,0.1818,0.0360,0.1945,0.1917,0.1077,0.1493,0.0908,0.2612,0.0973,0.1367,0.0382,0.1259,0.2357,0.1771,0.2050,0.1528,0.1980,0.1425,0.1904,0.1283,0.1882,0.0941,0.0527,0.1584,0.1923,0.0239,0.1158,0.1792,0.1586,0.1898
R012,0.8247,0.7664,0.7923,0.7905,0.7759,0.7723,0.8008,0.7806,0.8256,0.7671,0.7960,1.0000,0.8128,0.7833,0.3590,0.3219,0.2850,0.3122,0.3149,0.2737,0.3226,0.3724,0.2930,0.3230,0.3517,0.3569,0.2841,0.4151,0.2916,0.3873,0.2430,0.3480,0.2749,0.4180,0.2549,0.3403,0.2697,0.3664,-0.0263,-0.0230,-0.0642,0.0203,-0.1524,0.0370,-0.0264,-0.0501,0.0944,-0.0293,0.0082,-0.0655,0.0493,0.1969,0.2224,0.0866,0.0043,0.1003,0.1932,0.0171,0.1274,0.0265,0.1440,0.1814,-0.0126,0.1370,0.1472,0.1528,0.0423,0.0390,0.1022,0.1946,0.1309,0.0015,0.1091,0.1499,0.0375,0.0669,0.0318,0.2102,0.0534,0.1071,0.0222,0.0425,0.1869,0.0887,0.1543,0.1075,0.1318,0.0737,0.1403,0.0767,0.1192,0.0071,-0.0219,0.0932,0.1075,-0.0172,0.0408,0.0924,0.1255,0.0904
R013,0.8926,0.8458,0.8614,0.8011,0.8707,0.8433,0.8619,0.8289,0.8810,0.8293,0.8713,0.8128,1.0000,0.8288,0.4456,0.4215,0.3961,0.4209,0.4238,0.3707,0.4285,0.4304,0.3909,0.4116,0.4137,0.4422,0.2051,0.3406,0.2239,0.3162,0.1991,0.2408,0.1944,0.3640,0.1809,0.2501,0.1968,0.3045,-0.1285,-0.0964,-0.1222,-0.0540,-0.2215,-0.0380,-0.1696,-0.1293,0.0515,-0.0663,-0.0728,-0.1344,0.1321,0.2932,0.3059,0.1276,0.0634,0.1282,0.1952,0.0815,0.1589,0.0693,0.1716,0.1793,0.0263,0.1863,0.1761,0.1830,0.0573,0.0641,0.0842,0.2627,0.1196,-0.0510,0.1073,0.1323,0.0324,0.0620,0.0080,0.1737,0.0344,0.0572,-0.0590,0.0617,0.1819,0.0919,0.1415,0.0667,0.1176,0.0527,0.1066,0.0484,0.0884,0.0231,-0.0206,0.0862,0.1048,-0.0561,0.0390,0.0552,0.0714,0.0795
R014,0.8127,0.7841,0.8002,0.7632,0.7963,0.7800,0.7925,0.8132,0.8569,0.7723,0.8002,0.7833,0.8288,1.0000,0.3787,0.3426,0.3228,0.3377,0.3001,0.2727,0.3155,0.3494,0.3356,0.3409,0.3618,0.3521,0.3061,0.4201,0.3628,0.3968,0.3103,0.3249,0.2757,0.4316,0.2625,0.3643,0.3046,0.3967,-0.0340,-0.0135,-0.0723,0.0115,-0.1297,0.0142,-0.0776,-0.0926,0.0878,-0.0223,-0.0014,-0.0632,0.1558,0.3316,0.3133,0.2125,0.1165,0.2294,0.1734,0.0720,0.1592,0.0534,0.1649,0.2440,0.0672,0.2022,0.1446,0.1648,0.0761,0.0842,0.0831,0.2200,0.1908,0.0629,0.1976,0.2064,0.1035,0.1266,0.0676,0.2315,0.1295,0.1081,0.0566,0.1286,0.2267,0.1486,0.1993,0.1687,0.1874,0.1411,0.1746,0.1567,0.1378,0.0876,0.0743,0.1489,0.1874,0.0387,0.1013,0.1402,0.1573,0.1748
R015,0.3382,0.3002,0.5059,0.2795,0.4559,0.3062,0.3992,0.2907,0.4468,0.4231,0.3715,0.3590,0.4456,0.3787,1.0000,0.9017,0.8970,0.8875,0.9021,0.8845,0.8860,0.8951,0.8990,0.8859,0.8688,0.8551,0.1764,0.2770,0.0844,0.1889,0.1169,0.1403,0.1081,0.2205,0.0048,0.1760,0.1251,0.2479,-0.0392,0.0794,0.0396,-0.0631,-0.1179,-0.0383,-0.1178,-0.0709,0.0717,0.0502,-0.0821,-0.1879,0.2918,0.4497,0.4423,0.1742,0.2175,0.3264,0.3219,0.2568,0.2510,0.2490,0.2264,0.3533,0.2624,0.3260,0.2880,0.3572,0.1667,0.1673,0.2484,0.3828,0.1284,-0.0136,0.1420,0.2145,0.0569,0.1824,0.1162,0.1221,-0.0422,0.1209,-0.0518,0.1893,0.1705,0.0104,0.2174,0.0221,0.1036,-0.0196,0.0710,0.1149,0.2101,0.0344,0.0156,0.1947,0.1531,-0.0172,0.0446,0.0048,0.1696,0.0684
R016,0.3075,0.3115,0.4783,0.2395,0.4421,0.2864,0.3745,0.2843,0.4107,0.4020,0.3690,0.3219,0.4215,0.3426,0.9017,1.0000,0.9163,0.8915,0.9150,0.8960,0.8969,0.8893,0.8972,0.8877,0.8772,0.9055,0.1276,0.2534,0.0581,0.1472,0.0950,0.1048,0.1121,0.2283,-0.0367,0.1211,0.0701,0.2274,-0.0953,0.0179,-0.0405,-0.1570,-0.1951,-0.1005,-0.1458,-0.1441,-0.0016,-0.0380,-0.1515,-0.2435,0.2051,0.3688,0.3301,0.0337,0.1050,0.2093,0.2818,0.2428,0.2067,0.2325,0.1747,0.3292,0.2300,0.3143,0.2642,0.3540,0.1442,0.1111,0.2512,0.3262,0.1416,0.0173,0.1707,0.2288,0.0926,0.1973,0.1625,0.1267,-0.0144,0.1555,-0.0437,0.2162,0.2043,0.0482,0.2376,0.0282,0.1156,0.0219,0.1175,0.1359,0.2128,0.0605,0.0450,0.2109,0.1651,0.0223,0.0935,0.0287,0.1931,0.0938
R017,0.2869,0.2708,0.4609,0.2137,0.3976,0.2656,0.3518,0.2485,0.3971,0.3806,0.3476,0.2850,0.3961,0.3228,0.8970,0.9163,1.0000,0.8826,0.8965,0.8976,0.8946,0.8638,0.8860,0.8624,0.8598,0.8659,0.0510,0.1489,-0.0229,0.0814,0.0137,0.0595,0.0357,0.1250,-0.1262,0.0538,0.0027,0.1528,-0.1361,-0.0159,-0.0591,-0.1737,-0.2161,-0.1334,-0.1906,-0.1617,-0.0484,-0.0529,-0.1846,-0.2677,0.2061,0.3752,0.3559,0.0501,0.1304,0.2394,0.2265,0.1647,0.1474,0.1576,0.1191,0.2604,0.1915,0.2453,0.2135,0.2963,0.0903,0.0513,0.1722,0.2682,0.0750,-0.0507,0.1072,0.1654,0.0425,0.1424,0.0872,0.0758,-0.0782,0.0970,-0.0832,0.1452,0.1306,-0.0199,0.1790,-0.0234,0.0623,-0.0671,0.0496,0.0733,0.1484,0.0079,-0.0311,0.1676,0.1297,-0.0618,0.0340,-0.0279,0.1293,0.0154
R018,0.3179,0.2840,0.4803,0.1951,0.4462,0.2818,0.3602,0.2644,0.3996,0.3821,0.3481,0.3122,0.4209,0.3377,0.8875,0.8915,0.8826,1.0000,0.8892,0.8899,0.9052,0.8481,0.8922,0.8684,0.9029,0.8575,0.1676,0.2573,0.0826,0.1808,0.0989,0.1672,0.1205,0.2241,-0.0374,0.1445,0.0876,0.2327,-0.1344,-0.0006,-0.0734,-0.1719,-0.1979,-0.1438,-0.2138,-0.1734,-0.0239,-0.0345,-0.1713,-0.2787,0.3219,0.4809,0.4396,0.1705,0.2338,0.3698,0.2389,0.2048,0.1655,0.1566,0.1550,0.3017,0.2035,0.2818,0.2259,0.3134,0.1047,0.0860,0.2108,0.3157,0.1469,0.0351,0.1768,0.2417,0.1080,0.1809,0.1522,0.1159,0.0042,0.1722,-0.0381,0.2578,0.1862,0.0473,0.2433,0.0333,0.1292,0.0041,0.0993,0.1566,0.2041,0.0666,0.0688,0.2294,0.2029,0.0405,0.0858,0.0236,0.1909,0.0827
R019,0.3181,0.2937,0.4940,0.2198,0.4417,0.2919,0.3805,0.2607,0.4043,0.4011,0.3542,0.3149,0.4238,0.3001,0.9021,0.9150,0.8965,0.8892,1.0000,0.8935,0.9003,0.8707,0.8959,0.8693,0.8718,0.8886,0.0791,0.1959,-0.0320,0.0878,0.0257,0.0263,0.0395,0.1618,-0.1177,0.0640,0.0103,0.1476,-0.1001,0.0156,-0.0214,-0.1662,-0.2001,-0.1195,-0.1649,-0.1401,-0.0170,-0.0312,-0.1338,-0.2489,0.2281,0.3859,0.3644,0.0636,0.1527,0.2550,0.2647,0.1907,0.1764,0.1739,0.1330,0.2668,0.1801,0.2646,0.2345,0.3072,0.0905,0.0773,0.2060,0.3034,0.1448,0.0236,0.1485,0.2340,0.1172,0.2066,0.1727,0.1596,0.0069,0.1740,-0.0286,0.2387,0.2016,0.0738,0.2548,0.0458,0.1468,0.0133,0.1236,0.1527,0.2506,0.0870,0.0376,0.2394,0.1882,0.0296,0.0788,0.0329,0.1986,0.0678
R020,0.2512,0.2371,0.4355,0.1580,0.3883,0.2362,0.3095,0.2205,0.3526,0.3315,0.3014,0.2737,0.3707,0.2727,0.8845,0.8960,0.8976,0.8899,0.8935,1.0000,0.8850,0.8582,0.8989,0.8650,0.8725,0.8777,0.0973,0.2179,0.0179,0.1121,0.0572,0.0830,0.0939,0.1747,-0.0793,0.1035,0.0270,0.1899,-0.1077,0.0066,-0.0557,-0.1749,-0.2097,-0.1395,-0.1750,-0.1525,-0.0300,-0.0206,-0.1946,-0.2623,0.1914,0.3656,0.3233,0.0696,0.1330,0.2397,0.2318,0.2116,0.1707,0.1910,0.1478,0.2768,0.2180,0.2590,0.2157,0.3069,0.1166,0.0980,0.2055,0.2883,0.1562,0.0474,0.1669,0.2544,0.1053,0.2272,0.1897,0.1374,0.0111,0.1647,-0.0108,0.2283,0.2146,0.0645,0.2584,0.0639,0.1357,0.0117,0.1322,0.1433,0.2451,0.0949,0.0908,0.2587,0.1959,0.0292,0.1090,0.0493,0.2206,0.0846
R021,0.2994,0.2629,0.4550,0.2036,0.4350,0.2723,0.3661,0.2416,0.3929,0.3808,0.3474,0.3226,0.4285,0.3155,0.8860,0.8969,0.8946,0.9052,0.9003,0.8850,1.0000,0.8785,0.8992,0.8788,0.8984,0.8862,0.1119,0.1974,0.0224,0.0777,0.0327,0.0743,0.0581,0.1608,-0.0733,0.0722,0.0401,0.1827,-0.1361,-0.0242,-0.0851,-0.1494,-0.2120,-0.1294,-0.1998,-0.1476,-0.0189,-0.0418,-0.1634,-0.2593,0.2884,0.4385,0.3787,0.0917,0.1610,0.2799,0.3080,0.2560,0.2367,0.2451,0.2320,0.3439,0.2612,0.3500,0.3081,0.3802,0.1684,0.1613,0.2967,0.3652,0.0879,-0.0521,0.0804,0.1857,0.0463,0.1398,0.0983,0.0749,-0.0656,0.1137,-0.1121,0.1562,0.1426,-0.0177,0.1842,-0.0296,0.0591,-0.0654,0.0555,0.0793,0.1712,0.0035,-0.0185,0.1630,0.1498,-0.0377,0.0417,-0.0359,0.1399,0.0179
R022,0.3217,0.2711,0.4833,0.2301,0.4425,0.2596,0.3916,0.2743,0.4092,0.3951,0.3402,0.3724,0.4304,0.3494,0.8951,0.8893,0.8638,0.8481,0.8707,0.8582,0.8785,1.0000,0.8723,0.8465,0.8771,0.8641,0.1909,0.2961,0.1452,0.2181,0.1553,0.1924,0.1679,0.2696,0.0475,0.1984,0.1529,0.2931,-0.0947,0.0166,-0.0615,-0.1084,-0.1783,-0.0664,-0.1282,-0.1014,0.0057,0.0212,-0.1428,-0.2336,0.2703,0.4304,0.4056,0.1431,0.1593,0.3021,0.3319,0.2643,0.2427,0.2621,0.2445,0.3560,0.2743,0.3475,0.3173,0.3831,0.1776,0.1968,0.3014,0.3936,0.0835,-0.0477,0.0760,0.1882,0.0379,0.1812,0.1038,0.0851,-0.0284,0.0855,-0.0980,0.1459,0.1552,0.0074,0.1681,-0.0024,0.0548,-0.0488,0.0476,0.0844,0.1600,-0.0051,0.0041,0.1564,0.1308,-0.0234,0.0257,-0.0169,0.1221,0.0392
R023,0.2700,0.2779,0.4525,0.1894,0.4105,0.2536,0.3243,0.2259,0.3978,0.3498,0.3214,0.2930,0.3909,0.3356,0.8990,0.8972,0.8860,0.8922,0.8959,0.8989,0.8992,0.8723,1.0000,0.8540,0.8955,0.8756,0.1841,0.2467,0.0727,0.1404,0.0876,0.1091,0.1255,0.2213,-0.0589,0.1517,0.0777,0.2163,-0.0419,0.0586,-0.0111,-0.0958,-0.1491,-0.0681,-0.1550,-0.0960,0.0302,0.0322,-0.1192,-0.2038,0.3399,0.5043,0.4616,0.1941,0.2573,0.3810,0.2192,0.1687,0.1449,0.1499,0.1197,0.2594,0.1805,0.2515,0.1886,0.2766,0.0700,0.0665,0.1911,0.2990,0.1579,0.0513,0.1990,0.2463,0.1065,0.2103,0.1745,0.1395,0.0208,0.1966,-0.0120,0.2560,0.2196,0.0792,0.2676,0.0575,0.1281,0.0166,0.1080,0.1886,0.2345,0.0910,0.0701,0.2155,0.2071,0.0488,0.0923,0.0422,0.2328,0.0814
R024,0.2858,0.2861,0.4625,0.2365,0.4245,0.2966,0.3612,0.2467,0.4054,0.4032,0.3642,0.3230,0.4116,0.3409,0.8859,0.8877,0.8624,0.8684,0.8693,0.8650,0.8788,0.8465,0.8540,1.0000,0.8628,0.8936,0.1468,0.2468,0.0715,0.1203,0.1016,0.0935,0.0794,0.1980,-0.0543,0.1373,0.0781,0.2132,0.0097,0.1361,0.0834,-0.0215,-0.0943,-0.0074,-0.0525,-0.0377,0.1008,0.1115,-0.0574,-0.1442,0.2818,0.4118,0.3785,0.1356,0.1875,0.2862,0.3495,0.3095,0.2979,0.3056,0.2526,0.3961,0.3207,0.3752,0.3393,0.4143,0.1979,0.2127,0.3188,0.4192,0.2115,0.0978,0.2455,0.3091,0.1695,0.2928,0.2340,0.1915,0.0394,0.1921,0.0549,0.2887,0.2372,0.1173,0.3175,0.1084,0.1930,0.0799,0.1904,0.2207,0.3083,0.1208,0.1335,0.3076,0.2580,0.0833,0.1795,0.1152,0.2624,0.1535
R025,0.3148,0.3003,0.4538,0.1990,0.4417,0.2709,0.3619,0.2758,0.4016,0.3569,0.3497,0.3517,0.4137,0.3618,0.8688,0.8772,0.8598,0.9029,0.8718,0.8725,0.8984,0.8771,0.8955,0.8628,1.0000,0.8654,0.1844,0.3073,0.1235,0.2172,0.1205,0.1987,0.1788,0.2926,0.0264,0.1607,0.1423,0.2919,-0.1291,-0.0306,-0.1068,-0.1767,-0.2103,-0.1383,-0.1880,-0.1575,-0.0376,-0.0234,-0.1863,-0.2865,0.2978,0.4640,0.4314,0.1392,0.1757,0.3681,0.2875,0.2194,0.2118,0.1986,0.2043,0.3426,0.2354,0.3259,0.2760,0.3733,0.1436,0.1455,0.2463,0.3682,0.1230,0.0033,0.1393,0.2427,0.0716,0.1820,0.1351,0.0947,-0.0153,0.1270,-0.0773,0.2176,0.1873,0.0329,0.2107,0.0157,0.1018,-0.0060,0.0819,0.1200,0.2096,0.0253,0.0448,0.2037,0.1684,0.0104,0.0577,0.0230,0.1742,0.0554
R026,0.3267,0.3226,0.4941,0.2470,0.4701,0.3151,0.3849,0.2980,0.4275,0.4184,0.4012,0.3569,0.4422,0.3521,0.8551,0.9055,0.8659,0.8575,0.8886,0.8777,0.8862,0.8641,0.8756,0.8936,0.8654,1.0000,0.1708,0.2862,0.1086,0.1759,0.1292,0.1177,0.1324,0.2571,0.0016,0.1656,0.1008,0.2747,-0.0525,0.0419,-0.0320,-0.1281,-0.1854,-0.0744,-0.1288,-0.1220,0.0157,0.0057,-0.1331,-0.2062,0.1973,0.3720,0.3342,0.0706,0.1098,0.2347,0.2921,0.2359,0.2415,0.2208,0.1642,0.3354,0.2348,0.3090,0.2800,0.3885,0.1467,0.1511,0.2932,0.3442,0.2146,0.0854,0.2421,0.3024,0.1592,0.2962,0.2338,0.1998,0.0533,0.2164,0.0440,0.2748,0.2536,0.1383,0.3145,0.1162,0.1983,0.1062,0.1846,0.1972,0.2969,0.1451,0.1342,0.3014,0.2607,0.1008,0.1506,0.0925,0.2506,0.1383
