,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R011,-0.0150,-0.0144,0.0995,0.0615,0.1679,0.1301,0.1066,0.1421,0.8095,0.8106,1.0000,0.8210,0.1874,0.2086,0.2249,0.2608,0.2008,0.1986,0.2137,0.2649,0.2088,0.1737,0.1639,0.1840,0.1602,0.0317,0.0315,0.0583,-0.0420,-0.0934,0.0515,-0.0570,0.0518
R012,0.0050,-0.0012,0.0984,0.0526,0.2013,0.1590,0.1447,0.1615,0.8370,0.8195,0.8210,1.0000,0.1975,0.2290,0.1834,0.1997,0.1336,0.1596,0.1460,0.2222,0.2626,0.2215,0.2099,0.2309,0.2165,0.0985,0.0757,0.1275,0.0079,-0.0326,0.1293,0.0046,0.1242
R013,0.3324,0.2661,0.3653,0.3536,0.2946,0.1841,0.2441,0.2007,0.1437,0.1972,0.1874,0.1975,1.0000,0.8112,0.1854,0.1286,0.1709,0.1535,0.1130,0.1503,0.2781,0.2630,0.1280,0.1858,0.3023,0.1333,0.1415,0.0973,0.0243,-0.0365,0.1490,0.2172,0.2342
R014,0.3101,0.2223,0.3418,0.3149,0.3464,0.2582,0.3326,0.3026,0.1568,0.2387,0.2086,0.2290,0.8112,1.0000,0.2262,0.1791,0.2057,0.2088,0.1591,0.2113,0.3254,0.2860,0.1993,0.2622,0.3332,0.1635,0.1736,0.1261,0.0523,-0.0176,0.1932,0.2223,0.2672
R015,0.1810,0.1298,0.2172,0.2076,0.1262,0.0726,0.0766,0.1561,0.1717,0.2745,0.2249,0.1834,0.1854,0.2262,1.0000,0.8047,0.7640,0.7821,0.7848,0.8049,0.3471,0.3302,0.3070,0.3175,0.3162,0.2612,0.2222,0.2771,0.2748,0.2069,0.2533,0.1515,0.2063
R016,0.2035,0.1605,0.2303,0.2367,0.1537,0.1554,0.1292,0.2102,0.1655,0.2850,0.2608,0.1997,0.1286,0.1791,0.8047,1.0000,0.7915,0.8179,0.7972,0.8223,0.3170,0.2770,0.2464,0.2838,0.2718,0.2339,0.2764,0.3221,0.3286,0.2738,0.2497,0.1794,0.1825
R017,0.2292,0.1643,0.2325,0.2700,0.2266,0.1883,0.1851,0.2509,0.0762,0.1923,0.2008,0.1336,0.1709,0.2057,0.7640,0.7915,1.0000,0.8111,0.7746,0.7555,0.3490,0.2974,0.2698,0.2846,0.3225,0.2707,0.2801,0.2807,0.3294,0.2702,0.2344,0.1135,0.1435
R018,0.2219,0.1547,0.2063,0.2251,0.1923,0.1606,0.1526,0.2130,0.1160,0.2326,0.1986,0.1596,0.1535,0.2088,0.7821,0.8179,0.8111,1.0000,0.7492,0.8054,0.2791,0.2421,0.2325,0.2545,0.2940,0.2326,0.3148,0.3394,0.3376,0.3156,0.2995,0.2079,0.2264
R019,0.2299,0.1555,0.2334,0.2526,0.1074,0.0938,0.1173,0.1943,0.1327,0.2184,0.2137,0.1460,0.1130,0.1591,0.7848,0.7972,0.7746,0.7492,1.0000,0.7946,0.2982,0.2600,0.2557,0.2848,0.2625,0.2247,0.2109,0.2368,0.2794,0.2363,0.1698,0.0764,0.0954
R020,0.1916,0.1418,0.2567,0.2301,0.0845,0.0602,0.0596,0.1173,0.1893,0.3036,0.2649,0.2222,0.1503,0.2113,0.8049,0.8223,0.7555,0.8054,0.7946,1.0000,0.3289,0.3041,0.2838,0.3168,0.2967,0.2595,0.2729,0.3274,0.3106,0.2742,0.3393,0.1889,0.2111
R021,0.2851,0.1838,0.2108,0.1799,0.3058,0.2487,0.2725,0.2819,0.1597,0.1954,0.2088,0.2626,0.2781,0.3254,0.3471,0.3170,0.3490,0.2791,0.2982,0.3289,1.0000,0.7817,0.7444,0.7781,0.7811,0.7182,0.3127,0.2548,0.2633,0.2500,0.3020,0.2239,0.3122
R022,0.3304,0.2393,0.2043,0.2180,0.2255,0.2193,0.2068,0.2087,0.1318,0.1691,0.1737,0.2215,0.2630,0.2860,0.3302,0.2770,0.2974,0.2421,0.2600,0.3041,0.7817,1.0000,0.7695,0.7678,0.7877,0.7034,0.3342,0.2540,0.2473,0.2677,0.3209,0.2482,0.3245
R023,0.2874,0.2312,0.1874,0.1861,0.2064,0.1843,0.1892,0.1986,0.1218,0.1608,0.1639,0.2099,0.1280,0.1993,0.3070,0.2464,0.2698,0.2325,0.2557,0.2838,0.7444,0.7695,1.0000,0.7607,0.7460,0.7130,0.3092,0.2317,0.2415,0.2692,0.2544,0.1896,0.2821
R024,0.2792,0.2141,0.1931,0.1663,0.2366,0.1899,0.2129,0.2017,0.1516,0.1569,0.1840,0.2309,0.1858,0.2622,0.3175,0.2838,0.2846,0.2545,0.2848,0.3168,0.7781,0.7678,0.7607,1.0000,0.7203,0.6903,0.3492,0.2652,0.2854,0.2690,0.3026,0.2737,0.3362
R025,0.2629,0.1720,0.1749,0.1989,0.2738,0.2424,0.2480,0.2514,0.1138,0.1632,0.1602,0.2165,0.3023,0.3332,0.3162,0.2718,0.3225,0.2940,0.2625,0.2967,0.7811,0.7877,0.7460,0.7203,1.0000,0.7124,0.3947,0.2990,0.3190,0.3173,0.3631,0.2343,0.3403
R026,0.2351,0.1949,0.1264,0.1543,0.1839,0.1697,0.1770,0.2076,-0.0128,0.0332,0.0317,0.0985,0.1333,0.1635,0.2612,0.2339,0.2707,0.2326,0.2247,0.2595,0.7182,0.7034,0.7130,0.6903,0.7124,1.0000,0.3200,0.2678,0.2821,0.3229,0.2993,0.2293,0.2695
R027,0.1710,0.1373,0.1049,0.1611,0.2307,0.2306,0.1838,0.2598,-0.0020,0.0131,0.0315,0.0757,0.1415,0.1736,0.2222,0.2764,0.2801,0.3148,0.2109,0.2729,0.3127,0.3342,0.3092,0.3492,0.3947,0.3200,1.0000,0.8019,0.8174,0.8063,0.3813,0.2961,0.3682
R028,0.0795,0.0566,0.0342,0.0660,0.1865,0.1721,0.1327,0.2323,0.0427,0.0624,0.0583,0.1275,0.0973,0.1261,0.2771,0.3221,0.2807,0.3394,0.2368,0.3274,0.2548,0.2540,0.2317,0.2652,0.2990,0.2678,0.8019,1.0000,0.8103,0.7958,0.3743,0.3414,0.3981
R029,0.1466,0.0971,0.0870,0.1198,0.1949,0.1912,0.1247,0.2643,-0.0555,-0.0415,-0.0420,0.0079,0.0243,0.0523,0.2748,0.3286,0.3294,0.3376,0.2794,0.3106,0.2633,0.2473,0.2415,0.2854,0.3190,0.2821,0.8174,0.8103,1.0000,0.8413,0.3371,0.2842,0.3447
R030,0.1642,0.1157,0.0803,0.1143,0.1702,0.1872,0.1297,0.2276,-0.1105,-0.0900,-0.0934,-0.0326,-0.0365,-0.0176,0.2069,0.2738,0.2702,0.3156,0.2363,0.2742,0.2500,0.2677,0.2692,0.2690,0.3173,0.3229,0.8063,0.7958,0.8413,1.0000,0.3893,0.3381,0.3731
R031,0.0896,0.0106,0.0265,0.0441,0.1771,0.1129,0.1679,0.1184,-0.0061,0.0862,0.0515,0.1293,0.1490,0.1932,0.2533,0.2497,0.2344,0.2995,0.1698,0.3393,0.3020,0.3209,0.2544,0.3026,0.3631,0.2993,0.3813,0.3743,0.3371,0.3893,1.0000,0.6319,0.6751
R032,0.1312,0.0362,0.0396,0.0121,0.1484,0.0857,0.0788,0.0679,-0.0436,-0.0077,-0.0570,0.0046,0.2172,0.2223,0.1515,0.1794,0.1135,0.2079,0.0764,0.1889,0.2239,0.2482,0.1896,0.2737,0.2343,0.2293,0.2961,0.3414,0.2842,0.3381,0.6319,1.0000,0.6996
R033,0.1367,0.0499,0.0489,0.0485,0.2640,0.1493,0.2096,0.1523,0.0174,0.0787,0.0518,0.1242,0.2342,0.2672,0.2063,0.1825,0.1435,0.2264,0.0954,0.2111,0.3122,0.3245,0.2821,0.3362,0.3403,0.2695,0.3682,0.3981,0.3447,0.3731,0.6751,0.6996,1.0000
