,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R011,0.7893,0.7968,0.7985,0.7959,0.7829,0.8265,0.7642,0.7513,0.7928,0.8428,1.0000,0.7534,0.8096,0.8103,-0.1905,-0.1015,-0.0524,-0.1517,-0.2235,-0.2512,-0.2586,-0.1820,-0.2262,-0.3268,-0.1179,0.0460,0.3419,0.4837,0.4196,0.4423,0.4714,0.3659,0.4728,0.4536,0.3902,0.3694,0.2400,0.3198,0.2364,0.2562,0.1666,0.3155,0.1559,0.2709,0.0682,0.2599,0.1641,0.3342,0.1604,0.2391,0.1754,0.3306,0.2959,0.2620,0.1651,0.1409,0.2417,0.1034,0.2114,0.2128,0.2788,0.2322,0.1254,0.1987,0.1174,0.3171,0.1723,0.2072
R012,0.7721,0.7440,0.7252,0.7728,0.6514,0.7623,0.7358,0.6872,0.7429,0.7143,0.7534,1.0000,0.7424,0.7038,-0.0447,0.1238,0.1608,0.0465,-0.0697,-0.0536,-0.0465,-0.0011,-0.0022,-0.1089,0.0784,0.2411,0.4477,0.5002,0.4656,0.5393,0.5352,0.4681,0.5041,0.5433,0.4219,0.4688,0.2641,0.3260,0.3261,0.2661,0.1921,0.3827,0.2795,0.3095,0.1883,0.3688,0.2405,0.3648,0.2061,0.3335,0.2672,0.3951,0.3707,0.4115,0.2592,0.2116,0.3224,0.1674,0.2650,0.2615,0.1730,0.1597,0.0801,0.1021,0.0643,0.2194,0.0988,0.1868
R013,0.7513,0.7753,0.7502,0.7838,0.7269,0.7878,0.7350,0.7442,0.7529,0.8003,0.8096,0.7424,1.0000,0.7867,-0.2298,-0.0879,-0.0208,-0.1687,-0.2377,-0.2093,-0.2637,-0.1877,-0.1979,-0.3314,-0.1096,0.0251,0.2900,0.4613,0.3524,0.3873,0.3834,0.3413,0.3995,0.3736,0.2884,0.3102,0.2791,0.3749,0.2643,0.3070,0.2282,0.3423,0.2314,0.2989,0.1325,0.3198,0.2439,0.3313,0.2100,0.2856,0.2805,0.4006,0.3112,0.3708,0.2594,0.1962,0.3316,0.1618,0.2916,0.3002,0.1901,0.1850,0.0572,0.1076,0.1068,0.2489,0.0691,0.0764
R014,0.8057,0.8121,0.7879,0.7847,0.7211,0.8091,0.8116,0.7802,0.7348,0.8221,0.8103,0.7038,0.7867,1.0000,-0.2127,-0.0864,0.0056,-0.1774,-0.1888,-0.2303,-0.2259,-0.1710,-0.2403,-0.3220,-0.0876,-0.0606,0.2303,0.3627,0.2656,0.2819,0.2739,0.2011,0.3331,0.2957,0.2298,0.2322,0.1815,0.2966,0.1864,0.1783,0.1245,0.2470,0.1188,0.2051,0.0438,0.2223,0.1540,0.2646,0.1380,0.1813,0.1161,0.2845,0.2018,0.2275,0.1788,0.0427,0.2282,0.0589,0.1511,0.1368,0.2568,0.2692,0.1618,0.2344,0.1469,0.2744,0.2108,0.1998
R015,-0.1281,-0.3209,-0.1347,-0.1370,-0.0962,-0.1427,-0.1506,-0.2234,-0.1559,-0.2323,-0.1905,-0.0447,-0.2298,-0.2127,1.0000,0.6915,0.6139,0.6654,0.6891,0.7016,0.7119,0.7306,0.7043,0.7097,0.6319,0.6006,0.2677,0.1662,0.1152,0.2333,0.1743,0.2170,0.2135,0.2381,0.2293,0.2232,-0.0132,-0.0582,0.0455,-0.0278,-0.0814,-0.0680,0.0266,-0.0416,0.0471,-0.0100,-0.0610,-0.1700,0.0145,0.0650,0.0493,0.0024,0.0298,0.0510,0.0517,-0.0580,-0.0177,-0.0388,0.0250,0.0716,-0.0061,-0.1401,-0.0330,-0.2490,-0.1155,-0.1834,-0.1159,-0.0579
R016,0.0306,-0.1587,0.0391,0.0280,0.0211,0.0049,0.0228,0.0088,0.0279,-0.1181,-0.1015,0.1238,-0.0879,-0.0864,0.6915,1.0000,0.6607,0.6867,0.5940,0.6911,0.6618,0.7788,0.7082,0.6387,0.7396,0.5675,0.2999,0.2470,0.2243,0.3670,0.2637,0.2719,0.2247,0.3481,0.2802,0.3029,0.1733,0.1007,0.1967,0.1816,0.1121,0.1367,0.2098,0.1916,0.2074,0.1693,0.1729,0.0264,0.1450,0.2242,0.1054,0.0299,0.1051,0.1376,0.1214,0.0282,0.0414,0.0402,0.1035,0.1102,-0.0598,-0.2309,-0.1135,-0.3432,-0.2054,-0.2574,-0.1730,-0.1608
R017,0.0404,-0.0824,0.0089,0.0506,0.0748,0.0496,0.0608,0.0258,0.0638,-0.0054,-0.0524,0.1608,-0.0208,0.0056,0.6139,0.6607,1.0000,0.6842,0.6630,0.6917,0.7636,0.7166,0.6934,0.5894,0.6989,0.6812,0.2650,0.2801,0.2223,0.3134,0.2536,0.3550,0.2690,0.3563,0.2658,0.3535,0.2234,0.1865,0.2218,0.1466,0.0907,0.1969,0.1719,0.1610,0.2558,0.2658,0.2245,0.1224,0.1940,0.2555,0.1756,0.1551,0.2239,0.2563,0.3031,0.1165,0.1798,0.2026,0.2419,0.2317,0.0541,0.0130,0.0383,-0.1922,-0.0526,-0.1204,-0.0951,-0.0400
R018,-0.0480,-0.2631,-0.0719,-0.0673,-0.0982,-0.0349,-0.0633,-0.1163,-0.0704,-0.2107,-0.1517,0.0465,-0.1687,-0.1774,0.6654,0.6867,0.6842,1.0000,0.6717,0.6777,0.7217,0.7057,0.7703,0.7069,0.6873,0.6895,0.3573,0.3257,0.2895,0.3184,0.3025,0.3632,0.3369,0.3836,0.3255,0.4287,0.0862,0.0399,0.1295,0.1025,-0.0319,0.0593,0.0904,0.0879,0.1406,0.1542,0.1124,-0.0375,0.0583,0.1585,0.1738,0.0734,0.1833,0.1643,0.1358,0.0577,0.1017,0.1024,0.1220,0.1656,0.0139,-0.0711,0.0094,-0.2360,-0.1357,-0.1883,-0.0981,-0.0306
R019,-0.2319,-0.3655,-0.1362,-0.1988,-0.2168,-0.1777,-0.2267,-0.2504,-0.1930,-0.2632,-0.2235,-0.0697,-0.2377,-0.1888,0.6891,0.5940,0.6630,0.6717,1.0000,0.6691,0.6700,0.6548,0.6968,0.5750,0.6461,0.4669,0.2037,0.2090,0.1703,0.1713,0.1609,0.2377,0.1732,0.2309,0.1580,0.2619,0.0055,-0.0433,0.0037,-0.0668,-0.0645,-0.0157,-0.0622,-0.0534,0.0544,0.0665,-0.0500,-0.1679,-0.0081,0.0534,0.0928,-0.0047,0.0584,0.0369,0.0548,0.0231,0.0411,0.0716,0.0203,0.0850,0.0154,-0.0640,0.0357,-0.1723,-0.0338,-0.1514,-0.0606,0.0221
R020,-0.1173,-0.2792,-0.1755,-0.1938,-0.1917,-0.1731,-0.1638,-0.2323,-0.1614,-0.2968,-0.2512,-0.0536,-0.2093,-0.2303,0.7016,0.6911,0.6917,0.6777,0.6691,1.0000,0.7400,0.7124,0.7216,0.6990,0.6576,0.6164,0.2298,0.2158,0.1702,0.2730,0.1629,0.2662,0.2154,0.2917,0.2122,0.2898,0.1262,0.1308,0.1648,0.1452,0.0986,0.1101,0.1147,0.1332,0.2036,0.2128,0.1288,0.0325,0.1778,0.2139,0.1907,0.0746,0.1375,0.2124,0.1800,0.1506,0.0665,0.1453,0.1645,0.1980,0.0172,-0.1422,0.0043,-0.2280,-0.1275,-0.1709,-0.0870,0.0096
R021,-0.1835,-0.3272,-0.1877,-0.1242,-0.1630,-0.1378,-0.1377,-0.2035,-0.1783,-0.2789,-0.2586,-0.0465,-0.2637,-0.2259,0.7119,0.6618,0.7636,0.7217,0.6700,0.7400,1.0000,0.7369,0.7085,0.7015,0.7065,0.6072,0.1864,0.1092,0.0746,0.1556,0.0815,0.2443,0.0891,0.2193,0.1256,0.2208,0.0386,-0.0416,0.0428,-0.0200,-0.0670,-0.0252,0.0310,-0.0658,0.0472,0.0434,0.0153,-0.1025,-0.0125,0.0453,0.0477,-0.0077,0.1002,0.0951,0.0963,-0.0169,0.0085,0.0494,0.0418,0.1305,-0.1104,-0.1773,-0.0898,-0.2956,-0.2099,-0.3423,-0.2275,-0.1786
R022,-0.1088,-0.2752,-0.1470,-0.1196,-0.1026,-0.1486,-0.0977,-0.1274,-0.1108,-0.2444,-0.1820,-0.0011,-0.1877,-0.1710,0.7306,0.7788,0.7166,0.7057,0.6548,0.7124,0.7369,1.0000,0.7435,0.7163,0.7483,0.6118,0.2505,0.2052,0.1772,0.2687,0.1931,0.1931,0.1547,0.2764,0.2192,0.2376,0.0878,-0.0056,0.0992,0.0601,0.0759,0.0359,0.0920,0.0625,0.1288,0.0878,0.1039,-0.0515,0.1000,0.1555,0.0374,-0.0209,0.0609,0.0731,0.0855,-0.0263,0.0114,-0.0129,0.0531,0.1372,0.0180,-0.1648,-0.0597,-0.3121,-0.2060,-0.2300,-0.1426,-0.1289
R023,-0.1420,-0.3241,-0.1398,-0.1588,-0.0924,-0.1084,-0.1043,-0.1840,-0.1618,-0.2627,-0.2262,-0.0022,-0.1979,-0.2403,0.7043,0.7082,0.6934,0.7703,0.6968,0.7216,0.7085,0.7435,1.0000,0.7252,0.7092,0.6244,0.3363,0.3052,0.2458,0.3261,0.3080,0.3306,0.2163,0.3386,0.2911,0.3821,0.0848,0.0477,0.0982,0.0527,-0.0041,0.0087,0.0905,0.0970,0.1371,0.1633,0.0756,-0.0726,0.0752,0.1411,0.0939,0.0298,0.1080,0.1447,0.1069,0.0710,0.0544,0.1060,0.1189,0.1502,-0.0055,-0.0896,-0.0159,-0.2293,-0.1061,-0.1934,-0.1222,-0.0399
R024,-0.2167,-0.3831,-0.2237,-0.2516,-0.1949,-0.2688,-0.2369,-0.2730,-0.2460,-0.3609,-0.3268,-0.1089,-0.3314,-0.3220,0.7097,0.6387,0.5894,0.7069,0.5750,0.6990,0.7015,0.7163,0.7252,1.0000,0.6441,0.5699,0.2291,0.1176,0.1318,0.1812,0.1458,0.1981,0.1143,0.2004,0.1232,0.1912,0.0689,-0.0185,0.1354,0.0312,0.0677,0.0516,0.0800,0.0473,0.1844,0.0594,0.0671,-0.0545,0.1043,0.1057,0.1182,0.0484,0.1320,0.1358,0.1105,0.0655,0.0620,0.1490,0.1299,0.1645,-0.0334,-0.1349,-0.0086,-0.2300,-0.1022,-0.1779,-0.1061,-0.0431
R025,-0.0243,-0.1806,-0.0280,-0.0436,-0.0701,-0.0329,-0.0098,-0.0472,0.0086,-0.1513,-0.1179,0.0784,-0.1096,-0.0876,0.6319,0.7396,0.6989,0.6873,0.6461,0.6576,0.7065,0.7483,0.7092,0.6441,1.0000,0.6451,0.2566,0.2246,0.1705,0.3142,0.2036,0.2595,0.2129,0.2815,0.2284,0.3160,0.2307,0.1183,0.2545,0.1768,0.1529,0.1809,0.2453,0.1007,0.2183,0.2263,0.2285,0.0775,0.1928,0.2470,0.1997,0.1923,0.2580,0.2481,0.2584,0.1568,0.2055,0.1761,0.2229,0.2869,-0.0173,-0.1909,-0.0639,-0.3477,-0.1264,-0.2359,-0.1751,-0.0461
R026,0.0998,-0.0242,0.0624,0.1169,0.0618,0.1284,0.1382,0.0624,0.1419,-0.0053,0.0460,0.2411,0.0251,-0.0606,0.6006,0.5675,0.6812,0.6895,0.4669,0.6164,0.6072,0.6118,0.6244,0.5699,0.6451,1.0000,0.3745,0.4230,0.3528,0.4653,0.4076,0.4208,0.3801,0.5089,0.3966,0.4825,0.3357,0.3035,0.4074,0.3269,0.2639,0.3091,0.3086,0.3018,0.3699,0.4196,0.3277,0.2574,0.3388,0.4144,0.4250,0.3724,0.4530,0.4656,0.4148,0.3043,0.3576,0.3879,0.4722,0.4255,0.0462,-0.0758,0.0278,-0.2291,-0.0865,-0.1080,-0.0767,0.0246
R027,0.4287,0.3042,0.3083,0.2874,0.3020,0.3505,0.3868,0.2096,0.4260,0.2540,0.3419,0.4477,0.2900,0.2303,0.2677,0.2999,0.2650,0.3573,0.2037,0.2298,0.1864,0.2505,0.3363,0.2291,0.2566,0.3745,1.0000,0.8073,0.7829,0.7424,0.7859,0.7323,0.7466,0.7978,0.7610,0.7389,0.1892,0.1827,0.1955,0.2038,0.1211,0.1925,0.2634,0.3549,0.1982,0.2732,0.1711,0.1943,0.1493,0.2781,0.2142,0.2801,0.3804,0.3574,0.1930,0.2558,0.2061,0.2660,0.2097,0.3122,0.2645,0.2479,0.1489,0.2108,0.1415,0.2479,0.1987,0.2652
R028,0.5358,0.3972,0.4223,0.4156,0.3754,0.4919,0.4967,0.3727,0.5154,0.3914,0.4837,0.5002,0.4613,0.3627,0.1662,0.2470,0.2801,0.3257,0.2090,0.2158,0.1092,0.2052,0.3052,0.1176,0.2246,0.4230,0.8073,1.0000,0.8154,0.7475,0.8115,0.7693,0.7687,0.8469,0.7730,0.7715,0.2555,0.2847,0.2142,0.2749,0.1501,0.2833,0.2277,0.4006,0.2179,0.3659,0.2197,0.2172,0.2001,0.3449,0.3159,0.3609,0.4223,0.4315,0.2385,0.3170,0.2719,0.3235,0.3413,0.3899,0.3408,0.3082,0.1988,0.2030,0.1634,0.3029,0.2289,0.2904
R029,0.4783,0.3470,0.3433,0.3111,0.3398,0.3807,0.4433,0.2391,0.4579,0.2961,0.4196,0.4656,0.3524,0.2656,0.1152,0.2243,0.2223,0.2895,0.1703,0.1702,0.0746,0.1772,0.2458,0.1318,0.1705,0.3528,0.7829,0.8154,1.0000,0.8030,0.8550,0.7737,0.7700,0.8512,0.8079,0.8131,0.3041,0.3237,0.2792,0.3857,0.2583,0.3678,0.3154,0.4183,0.3457,0.3893,0.3008,0.2875,0.2847,0.3920,0.3065,0.2984,0.3978,0.4342,0.2072,0.2734,0.2398,0.3150,0.3069,0.3590,0.2944,0.2873,0.1912,0.1989,0.1853,0.3082,0.2389,0.2610
R030,0.5021,0.3532,0.3721,0.3558,0.3208,0.4434,0.4528,0.2648,0.4795,0.3109,0.4423,0.5393,0.3873,0.2819,0.2333,0.3670,0.3134,0.3184,0.1713,0.2730,0.1556,0.2687,0.3261,0.1812,0.3142,0.4653,0.7424,0.7475,0.8030,1.0000,0.8037,0.7298,0.7772,0.8011,0.7535,0.7722,0.3547,0.3404,0.3492,0.3763,0.2814,0.4055,0.3966,0.4194,0.3323,0.4374,0.3143,0.3533,0.3283,0.4314,0.2890,0.3247,0.4140,0.4447,0.2265,0.2821,0.2522,0.2752,0.3105,0.3466,0.2346,0.1083,0.0238,-0.0006,0.0860,0.1884,0.1050,0.1658
R031,0.4895,0.3675,0.3419,0.3452,0.4073,0.4042,0.4448,0.2394,0.4673,0.3324,0.4714,0.5352,0.3834,0.2739,0.1743,0.2637,0.2536,0.3025,0.1609,0.1629,0.0815,0.1931,0.3080,0.1458,0.2036,0.4076,0.7859,0.8115,0.8550,0.8037,1.0000,0.7806,0.7951,0.8493,0.7991,0.8168,0.2882,0.3293,0.2897,0.3450,0.2386,0.3181,0.3518,0.3976,0.2909,0.3928,0.2917,0.2725,0.2996,0.4238,0.2801,0.3145,0.4039,0.4000,0.2197,0.3109,0.2584,0.2738,0.2958,0.3826,0.3065,0.2345,0.1538,0.1701,0.1659,0.3162,0.2100,0.2916
R032,0.4089,0.2553,0.3100,0.3041,0.3083,0.3419,0.3365,0.2264,0.4116,0.2660,0.3659,0.4681,0.3413,0.2011,0.2170,0.2719,0.3550,0.3632,0.2377,0.2662,0.2443,0.1931,0.3306,0.1981,0.2595,0.4208,0.7323,0.7693,0.7737,0.7298,0.7806,1.0000,0.7633,0.8258,0.6833,0.7792,0.2839,0.3030,0.2810,0.3145,0.1659,0.2987,0.3041,0.3273,0.3017,0.3526,0.2402,0.2415,0.2041,0.3783,0.2752,0.3274,0.3941,0.4280,0.2897,0.2664,0.2158,0.2901,0.2737,0.3484,0.3176,0.2348,0.1847,0.1568,0.1762,0.2636,0.1670,0.2670
R033,0.4965,0.3898,0.3485,0.3206,0.3751,0.4127,0.4264,0.2415,0.4311,0.3384,0.4728,0.5041,0.3995,0.3331,0.2135,0.2247,0.2690,0.3369,0.1732,0.2154,0.0891,0.1547,0.2163,0.1143,0.2129,0.3801,0.7466,0.7687,0.7700,0.7772,0.7951,0.7633,1.0000,0.8067,0.7476,0.7968,0.3008,0.3205,0.2888,0.3697,0.1497,0.3458,0.3092,0.3878,0.2990,0.3832,0.2698,0.3017,0.2382,0.4000,0.2837,0.3291,0.3753,0.3871,0.2513,0.3124,0.2129,0.2385,0.2618,0.2812,0.3206,0.2408,0.1645,0.1714,0.1716,0.3006,0.2413,0.2934
R034,0.4975,0.3499,0.3997,0.3898,0.3767,0.4346,0.4567,0.3245,0.4882,0.3319,0.4536,0.5433,0.3736,0.2957,0.2381,0.3481,0.3563,0.3836,0.2309,0.2917,0.2193,0.2764,0.3386,0.2004,0.2815,0.5089,0.7978,0.8469,0.8512,0.8011,0.8493,0.8258,0.8067,1.0000,0.8055,0.8247,0.2694,0.3107,0.2596,0.3406,0.1816,0.3187,0.3051,0.3610,0.2609,0.3507,0.2584,0.2732,0.2282,0.3971,0.2592,0.2964,0.4130,0.4570,0.2458,0.2721,0.2602,0.2927,0.2982,0.3609,0.2593,0.2287,0.1899,0.1363,0.1434,0.2513,0.1978,0.2627
R035,0.4140,0.2677,0.2522,0.2785,0.3040,0.3119,0.4027,0.1719,0.4190,0.2322,0.3902,0.4219,0.2884,0.2298,0.2293,0.2802,0.2658,0.3255,0.1580,0.2122,0.1256,0.2192,0.2911,0.1232,0.2284,0.3966,0.7610,0.7730,0.8079,0.7535,0.7991,0.6833,0.7476,0.8055,1.0000,0.7481,0.2226,0.3045,0.2376,0.3016,0.1833,0.3055,0.3316,0.3980,0.2405,0.3520,0.2214,0.2934,0.2599,0.3979,0.2574,0.3152,0.3999,0.4306,0.2654,0.2977,0.2379,0.2947,0.2503,0.3299,0.3193,0.2560,0.1679,0.1426,0.1296,0.2621,0.2460,0.2844
R036,0.4447,0.2761,0.3025,0.3018,0.2763,0.3381,0.3788,0.2331,0.3931,0.2407,0.3694,0.4688,0.3102,0.2322,0.2232,0.3029,0.3535,0.4287,0.2619,0.2898,0.2208,0.2376,0.3821,0.1912,0.3160,0.4825,0.7389,0.7715,0.8131,0.7722,0.8168,0.7792,0.7968,0.8247,0.7481,1.0000,0.3387,0.3391,0.3165,0.3661,0.2111,0.3996,0.3275,0.4178,0.3523,0.4287,0.3538,0.3016,0.3050,0.3819,0.3586,0.4152,0.5098,0.4964,0.3297,0.3351,0.3569,0.3631,0.3757,0.4393,0.2830,0.2799,0.2263,0.1563,0.2122,0.2791,0.2595,0.3091
R037,0.2804,0.3002,0.1833,0.2119,0.1457,0.2340,0.2407,0.1882,0.3058,0.2709,0.2400,0.2641,0.2791,0.1815,-0.0132,0.1733,0.2234,0.0862,0.0055,0.1262,0.0386,0.0878,0.0848,0.0689,0.2307,0.3357,0.1892,0.2555,0.3041,0.3547,0.2882,0.2839,0.3008,0.2694,0.2226,0.3387,1.0000,0.7538,0.8208,0.8039,0.8346,0.7991,0.7396,0.7463,0.7979,0.7501,0.7980,0.7782,0.8011,0.7407,0.4639,0.4367,0.4463,0.5594,0.4164,0.3489,0.3173,0.3308,0.5288,0.4523,0.1417,0.0606,0.1636,-0.0568,0.1591,0.1796,0.0864,0.1689
R038,0.3516,0.3855,0.2738,0.3011,0.2375,0.2957,0.3990,0.2245,0.4012,0.3679,0.3198,0.3260,0.3749,0.2966,-0.0582,0.1007,0.1865,0.0399,-0.0433,0.1308,-0.0416,-0.0056,0.0477,-0.0185,0.1183,0.3035,0.1827,0.2847,0.3237,0.3404,0.3293,0.3030,0.3205,0.3107,0.3045,0.3391,0.7538,1.0000,0.7683,0.7857,0.7650,0.7675,0.7135,0.7709,0.7619,0.8152,0.7582,0.7921,0.7702,0.7778,0.4700,0.4072,0.4039,0.5589,0.4307,0.2747,0.2947,0.2967,0.4823,0.4045,0.1695,0.1743,0.2079,0.0458,0.2758,0.2700,0.2019,0.2678
