,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R011,-0.0680,-0.0884,-0.1358,-0.0389,0.1415,0.2498,0.1520,0.1837,0.7181,0.6857,1.0000,0.7430,-0.0204,-0.0013,-0.0471,0.0978,0.0379,0.0965,0.0085,-0.0731,-0.0011,-0.0063,-0.0403,-0.0363,-0.0301,-0.1075,0.2041,0.2532,0.1529,0.1438,-0.0072,0.0644,0.1355
R012,0.0935,0.0259,-0.0156,0.0923,0.2292,0.3817,0.2656,0.2942,0.7540,0.6897,0.7430,1.0000,0.0748,0.0612,-0.0719,0.0580,0.0006,0.0526,-0.0424,-0.1153,0.0638,0.0318,-0.0350,-0.0216,0.0510,-0.0336,0.2658,0.2810,0.1776,0.1986,0.0999,0.1986,0.2406
R013,0.3755,0.2904,0.4414,0.4192,0.4060,0.2523,0.3306,0.2882,-0.2022,0.0118,-0.0204,0.0748,1.0000,0.8607,0.2276,0.2905,0.3621,0.3647,0.1986,0.2917,0.2848,0.2319,0.1289,0.2297,0.3927,0.1394,0.3667,0.3511,0.2002,0.2890,0.5010,0.5194,0.5309
R014,0.4323,0.3375,0.5014,0.4519,0.5033,0.3879,0.4975,0.4485,-0.2443,0.0185,-0.0013,0.0612,0.8607,1.0000,0.3284,0.3433,0.4491,0.4436,0.2476,0.3630,0.4177,0.3504,0.2630,0.3530,0.5060,0.2510,0.4074,0.3836,0.2519,0.3355,0.5446,0.5463,0.5756
R015,0.1194,0.0767,0.2406,0.2385,0.0115,-0.0208,-0.0280,0.1016,-0.1818,-0.0346,-0.0471,-0.0719,0.2276,0.3284,1.0000,0.8155,0.8119,0.8160,0.7678,0.8664,0.3429,0.2225,0.2021,0.3017,0.2773,0.2463,0.4039,0.4433,0.4850,0.4007,0.3119,0.2296,0.3781
R016,0.1166,0.0906,0.2099,0.2313,0.0723,0.0905,0.0315,0.1416,-0.1010,0.1116,0.0978,0.0580,0.2905,0.3433,0.8155,1.0000,0.7916,0.8192,0.7097,0.8336,0.2485,0.1175,0.0639,0.2116,0.2321,0.1501,0.5250,0.5817,0.6093,0.5076,0.4233,0.3646,0.5228
R017,0.3040,0.2834,0.4041,0.4386,0.1576,0.0985,0.1350,0.1616,-0.1899,0.0165,0.0379,0.0006,0.3621,0.4491,0.8119,0.7916,1.0000,0.8291,0.7491,0.8059,0.4067,0.2563,0.2687,0.3224,0.3747,0.3364,0.4037,0.4015,0.4433,0.4083,0.4215,0.2741,0.4442
R018,0.2792,0.2749,0.3987,0.4070,0.1379,0.0604,0.1125,0.1779,-0.1110,0.0927,0.0965,0.0526,0.3647,0.4436,0.8160,0.8192,0.8291,1.0000,0.7240,0.8413,0.2748,0.1651,0.1317,0.2768,0.2960,0.2572,0.5290,0.5435,0.5413,0.5284,0.4280,0.3346,0.4793
R019,0.2066,0.1298,0.3131,0.3253,0.0530,0.0187,0.0098,0.1397,-0.1230,-0.0287,0.0085,-0.0424,0.1986,0.2476,0.7678,0.7097,0.7491,0.7240,1.0000,0.7766,0.3650,0.2336,0.2410,0.3399,0.3003,0.2967,0.3216,0.3244,0.4089,0.3882,0.2229,0.1808,0.3292
R020,0.1826,0.1312,0.3403,0.3163,0.0292,-0.0397,-0.0364,0.0576,-0.2368,-0.0551,-0.0731,-0.1153,0.2917,0.3630,0.8664,0.8336,0.8059,0.8413,0.7766,1.0000,0.3385,0.2445,0.1924,0.3461,0.3222,0.2771,0.4996,0.5382,0.5711,0.4892,0.4283,0.3390,0.4644
R021,0.4694,0.4510,0.4366,0.3984,0.2765,0.3054,0.3986,0.3603,-0.2227,-0.1483,-0.0011,0.0638,0.2848,0.4177,0.3429,0.2485,0.4067,0.2748,0.3650,0.3385,1.0000,0.8668,0.8394,0.8527,0.8581,0.8198,0.3923,0.2596,0.3021,0.3845,0.3639,0.2539,0.3781
R022,0.5197,0.5055,0.4456,0.4145,0.2479,0.3625,0.3999,0.3531,-0.1990,-0.1279,-0.0063,0.0318,0.2319,0.3504,0.2225,0.1175,0.2563,0.1651,0.2336,0.2445,0.8668,1.0000,0.8956,0.8478,0.8537,0.8645,0.2926,0.1393,0.1541,0.2794,0.2595,0.1557,0.2781
R023,0.5268,0.5206,0.4288,0.4154,0.1645,0.2580,0.3287,0.2762,-0.2695,-0.1807,-0.0403,-0.0350,0.1289,0.2630,0.2021,0.0639,0.2687,0.1317,0.2410,0.1924,0.8394,0.8956,1.0000,0.8266,0.8114,0.8320,0.1796,0.0217,0.0681,0.1808,0.1622,0.0373,0.1823
R024,0.3761,0.3572,0.3507,0.3004,0.1917,0.2158,0.2889,0.2482,-0.2340,-0.1847,-0.0363,-0.0216,0.2297,0.3530,0.3017,0.2116,0.3224,0.2768,0.3399,0.3461,0.8527,0.8478,0.8266,1.0000,0.7938,0.8255,0.4047,0.2699,0.2838,0.3629,0.3717,0.3039,0.3821
R025,0.5988,0.5598,0.5385,0.5101,0.3342,0.4009,0.5154,0.4476,-0.2586,-0.1143,-0.0301,0.0510,0.3927,0.5060,0.2773,0.2321,0.3747,0.2960,0.3003,0.3222,0.8581,0.8537,0.8114,0.7938,1.0000,0.8109,0.4254,0.2942,0.2753,0.4029,0.4085,0.2869,0.4330
R026,0.5667,0.5770,0.5068,0.4841,0.1290,0.2574,0.3419,0.2569,-0.2559,-0.2083,-0.1075,-0.0336,0.1394,0.2510,0.2463,0.1501,0.3364,0.2572,0.2967,0.2771,0.8198,0.8645,0.8320,0.8255,0.8109,1.0000,0.2677,0.1233,0.1661,0.2815,0.2898,0.1026,0.2650
R027,0.2727,0.1927,0.3042,0.2570,0.2505,0.2728,0.2644,0.3217,0.0434,0.1585,0.2041,0.2658,0.3667,0.4074,0.4039,0.5250,0.4037,0.5290,0.3216,0.4996,0.3923,0.2926,0.1796,0.4047,0.4254,0.2677,1.0000,0.8970,0.8813,0.8923,0.7316,0.6511,0.7545
R028,0.0965,0.0424,0.2209,0.1538,0.1439,0.1423,0.1373,0.2171,0.1265,0.2374,0.2532,0.2810,0.3511,0.3836,0.4433,0.5817,0.4015,0.5435,0.3244,0.5382,0.2596,0.1393,0.0217,0.2699,0.2942,0.1233,0.8970,1.0000,0.9009,0.8395,0.6797,0.6693,0.7402
R029,0.0687,0.0346,0.1853,0.0810,0.1049,0.0912,0.0678,0.1850,0.0511,0.1292,0.1529,0.1776,0.2002,0.2519,0.4850,0.6093,0.4433,0.5413,0.4089,0.5711,0.3021,0.1541,0.0681,0.2838,0.2753,0.1661,0.8813,0.9009,1.0000,0.8714,0.6291,0.5820,0.6636
R030,0.3023,0.2465,0.3749,0.2987,0.2096,0.2043,0.2657,0.3113,-0.0120,0.1008,0.1438,0.1986,0.2890,0.3355,0.4007,0.5076,0.4083,0.5284,0.3882,0.4892,0.3845,0.2794,0.1808,0.3629,0.4029,0.2815,0.8923,0.8395,0.8714,1.0000,0.6806,0.5896,0.6761
R031,0.3360,0.2457,0.4603,0.3713,0.2259,0.1904,0.2958,0.2636,-0.2160,-0.0367,-0.0072,0.0999,0.5010,0.5446,0.3119,0.4233,0.4215,0.4280,0.2229,0.4283,0.3639,0.2595,0.1622,0.3717,0.4085,0.2898,0.7316,0.6797,0.6291,0.6806,1.0000,0.7483,0.8192
R032,0.1018,0.0162,0.2530,0.1351,0.2817,0.1841,0.1870,0.2309,-0.0295,0.1133,0.0644,0.1986,0.5194,0.5463,0.2296,0.3646,0.2741,0.3346,0.1808,0.3390,0.2539,0.1557,0.0373,0.3039,0.2869,0.1026,0.6511,0.6693,0.5820,0.5896,0.7483,1.0000,0.8002
R033,0.2565,0.1765,0.3631,0.2735,0.3202,0.2911,0.3185,0.3322,-0.0413,0.0741,0.1355,0.2406,0.5309,0.5756,0.3781,0.5228,0.4442,0.4793,0.3292,0.4644,0.3781,0.2781,0.1823,0.3821,0.4330,0.2650,0.7545,0.7402,0.6636,0.6761,0.8192,0.8002,1.0000
