,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R011,0.7326,0.6761,0.7542,0.6995,0.7208,0.7108,0.7334,0.7507,0.7243,0.7216,1.0000,0.7111,0.7193,0.7203,0.7370,0.7535,0.7361,0.7253,0.0760,0.0762,0.0462,0.0070,0.3151,0.4201,0.4115,0.2864,0.3925,0.3730,0.0681,0.0584,0.0881,0.0691,0.0564,0.1064,0.0423,0.0499,0.0999,0.0370,0.2780,0.3915,0.2794,0.2802,0.3407,0.2403,0.2852,0.2042,0.3182,0.2737,0.2421,0.2763,0.1337,0.0353,-0.0427,0.0812,0.0667,0.1247,0.0832,0.0831,0.0020,0.0814,0.1275,0.0449,0.0704,0.0886,-0.0699,0.0731,0.0387,-0.0161,0.1798,0.0845,0.2131,0.1763,0.1461,0.1619,0.2100,0.2651,0.1887,0.1562,0.2468,0.2549,0.0638,0.1451,0.0755,0.0791,0.0488,0.1198,0.1605,0.1576,0.1815,0.1013
R012,0.7641,0.6967,0.7268,0.7522,0.6951,0.7224,0.7278,0.7157,0.7491,0.7142,0.7111,1.0000,0.7570,0.6891,0.7113,0.6966,0.7568,0.7424,0.1112,0.0587,0.0965,0.0138,0.4204,0.4470,0.4138,0.3383,0.4232,0.4236,0.2138,0.1814,0.2139,0.2005,0.1450,0.1815,0.1760,0.2021,0.2165,0.1217,0.3774,0.5098,0.3733,0.3925,0.4548,0.3299,0.4125,0.3352,0.4401,0.4124,0.3398,0.4240,0.2161,0.1478,0.0230,0.1304,0.1791,0.1558,0.1535,0.1515,0.1123,0.2196,0.1987,0.1740,0.2079,0.1642,0.0518,0.1468,0.1377,0.0677,0.1749,0.1827,0.2060,0.1990,0.1730,0.1810,0.2627,0.2409,0.2389,0.1652,0.2700,0.2295,0.0956,0.0756,0.1102,0.0782,0.0686,0.1641,0.1638,0.1646,0.2164,0.1157
R013,0.7525,0.6940,0.6953,0.7658,0.7257,0.7471,0.7364,0.7283,0.7453,0.7339,0.7193,0.7570,1.0000,0.7491,0.7295,0.7215,0.7594,0.7209,0.1145,0.0795,0.0645,-0.0027,0.3582,0.4156,0.4078,0.3020,0.4165,0.3989,0.1205,0.0550,0.1522,0.1317,0.0885,0.1341,0.0925,0.1141,0.1720,0.0704,0.3210,0.4091,0.3376,0.3304,0.3769,0.2491,0.3359,0.2656,0.3426,0.3310,0.2805,0.3204,0.2160,0.1480,0.0609,0.1438,0.2122,0.1457,0.1662,0.1997,0.1219,0.2082,0.1930,0.1668,0.2543,0.1846,0.0265,0.1974,0.1527,0.0714,0.1992,0.1477,0.1693,0.2046,0.1389,0.1601,0.2712,0.2349,0.2460,0.1676,0.3060,0.2143,0.0455,0.1111,0.0448,0.0474,0.0384,0.1097,0.1808,0.1483,0.1625,0.1213
R014,0.7199,0.6467,0.6868,0.6841,0.7190,0.7188,0.7179,0.6783,0.6686,0.7012,0.7203,0.6891,0.7491,1.0000,0.7168,0.7332,0.7693,0.7361,0.0785,0.0633,0.0169,-0.0222,0.3373,0.3658,0.3654,0.2302,0.3438,0.3245,0.0652,-0.0185,0.0375,0.0577,0.0073,0.0775,0.0580,0.0299,0.0783,-0.0143,0.2756,0.3447,0.2740,0.3075,0.3344,0.2325,0.3000,0.2130,0.3245,0.2785,0.1962,0.3124,0.1503,0.0925,0.0171,0.0364,0.1581,0.1260,0.0849,0.0885,0.0226,0.1349,0.1774,0.0654,0.1524,0.1032,-0.0523,0.1116,0.1167,0.0093,0.1301,0.0353,0.1627,0.0748,0.0407,0.0806,0.1681,0.1396,0.1921,0.0937,0.1798,0.1473,0.1006,0.1549,0.1199,0.0538,0.0690,0.1927,0.1866,0.1934,0.2261,0.2077
R015,0.7522,0.7071,0.7557,0.7303,0.6959,0.7227,0.7000,0.7233,0.7546,0.7232,0.7370,0.7113,0.7295,0.7168,1.0000,0.7409,0.7381,0.7553,0.0138,0.0131,0.0291,-0.0472,0.3628,0.4462,0.4003,0.3223,0.4494,0.3666,0.1599,0.1420,0.1660,0.1440,0.1652,0.1705,0.1331,0.1604,0.1993,0.1140,0.3611,0.4306,0.3821,0.3674,0.4195,0.3011,0.3987,0.2967,0.4123,0.3927,0.3192,0.3863,0.1894,0.1111,0.0232,0.0962,0.1152,0.1756,0.1300,0.1407,0.0929,0.1848,0.2137,0.0663,0.1682,0.1461,0.0145,0.1105,0.1435,0.0472,0.1807,0.1499,0.2064,0.1970,0.1037,0.1742,0.2382,0.2154,0.2039,0.1581,0.2939,0.2689,0.0813,0.1247,0.0608,0.0403,0.0495,0.1190,0.1474,0.1558,0.1340,0.1343
R016,0.7192,0.6680,0.7204,0.6629,0.7012,0.7400,0.7576,0.6974,0.7344,0.7360,0.7535,0.6966,0.7215,0.7332,0.7409,1.0000,0.7201,0.7123,0.0891,0.1229,0.0515,0.0537,0.2979,0.3873,0.4006,0.2854,0.3681,0.3555,0.1647,0.1291,0.1392,0.1460,0.1419,0.1707,0.1356,0.1675,0.1651,0.1253,0.3711,0.4395,0.3242,0.3507,0.3924,0.2866,0.3608,0.3275,0.4029,0.3660,0.3340,0.3676,0.1431,0.0462,-0.0155,0.0080,0.0635,0.0642,0.0628,0.0536,0.0017,0.1406,0.1285,0.0362,0.1345,0.1047,-0.0191,0.1093,0.0903,-0.0298,0.1461,0.1124,0.1707,0.1403,0.1077,0.1168,0.1932,0.1584,0.1543,0.1331,0.2367,0.2554,0.0343,0.1497,0.0480,0.0284,0.0640,0.1204,0.1630,0.1452,0.1665,0.1359
R017,0.7486,0.6607,0.7214,0.7429,0.7123,0.7236,0.7088,0.7294,0.7447,0.7566,0.7361,0.7568,0.7594,0.7693,0.7381,0.7201,1.0000,0.7776,0.0569,0.0610,0.0526,-0.0190,0.4574,0.4707,0.4432,0.3432,0.4614,0.4218,0.0862,0.0454,0.1006,0.0790,0.0327,0.0731,0.0803,0.0430,0.1157,0.0168,0.2811,0.3707,0.2734,0.2930,0.3844,0.2034,0.2955,0.2471,0.3190,0.3071,0.2304,0.2905,0.1996,0.0901,0.0409,0.0782,0.1593,0.1720,0.0911,0.1450,0.0763,0.1435,0.1510,0.1100,0.1603,0.1121,-0.0048,0.1135,0.1559,0.0158,0.2717,0.2009,0.3016,0.2443,0.1982,0.2266,0.3341,0.2926,0.3001,0.2258,0.3434,0.2815,0.0898,0.2057,0.0995,0.1121,0.1036,0.1805,0.2219,0.2254,0.2593,0.1938
R018,0.7982,0.6750,0.7779,0.7417,0.7312,0.7376,0.7333,0.7112,0.7787,0.7197,0.7253,0.7424,0.7209,0.7361,0.7553,0.7123,0.7776,1.0000,0.0945,0.0549,0.0855,0.0325,0.4145,0.4549,0.4150,0.3101,0.4501,0.3808,0.1148,0.0500,0.1186,0.0879,0.0740,0.1118,0.1113,0.0771,0.1109,0.0324,0.2870,0.3863,0.3179,0.2798,0.3422,0.2455,0.3676,0.2707,0.3432,0.3063,0.2362,0.3602,0.1421,0.0385,-0.0366,0.0110,0.1476,0.1154,0.1139,0.0479,0.0447,0.1480,0.1313,0.0477,0.1146,0.0723,-0.0779,0.0915,0.0918,-0.0475,0.1761,0.0910,0.1595,0.1336,0.0893,0.1376,0.1773,0.1854,0.1849,0.1517,0.2157,0.1951,0.0514,0.0882,0.0014,0.0285,0.0180,0.1134,0.1810,0.1393,0.1771,0.1029
R019,0.0746,0.0186,0.0251,0.0851,0.1060,0.0797,0.0336,0.1424,0.0619,0.1287,0.0760,0.1112,0.1145,0.0785,0.0138,0.0891,0.0569,0.0945,1.0000,0.6711,0.7138,0.7069,0.1761,0.1641,0.1809,0.2053,0.2018,0.2213,0.0346,0.0351,-0.0509,0.0086,0.0130,-0.0282,0.0469,0.0572,-0.0237,0.0249,0.2454,0.2118,0.1835,0.2212,0.1959,0.1835,0.1954,0.1848,0.1487,0.1657,0.2158,0.1842,-0.1048,-0.1170,-0.0921,-0.1577,-0.1394,-0.0775,0.0230,-0.0105,-0.1347,-0.0768,-0.0966,-0.0276,-0.0554,-0.0085,-0.1833,-0.0643,-0.1129,-0.0586,-0.0266,0.0352,0.0153,-0.0457,0.0597,-0.1107,-0.1189,-0.0329,-0.0350,0.0916,-0.0374,0.0489,0.0677,0.0748,-0.0309,0.0668,0.0604,0.1311,0.0477,0.0288,0.0997,0.0018
R020,0.0328,0.0554,0.0403,0.0704,0.0890,0.0728,0.0320,0.1494,0.0407,0.0961,0.0762,0.0587,0.0795,0.0633,0.0131,0.1229,0.0610,0.0549,0.6711,1.0000,0.7372,0.7175,0.2357,0.2417,0.2519,0.2606,0.2341,0.2934,0.1533,0.1576,0.0431,0.1275,0.1479,0.0877,0.2036,0.1680,0.1251,0.0966,0.1758,0.2135,0.1638,0.2125,0.1821,0.1486,0.1481,0.1340,0.1278,0.1322,0.1840,0.1705,-0.1051,-0.1510,-0.0959,-0.1610,-0.0971,0.0012,-0.0223,-0.0278,-0.1100,-0.0848,-0.0857,-0.0154,-0.0602,-0.0204,-0.1668,-0.0276,-0.1093,-0.0634,0.1120,0.1177,0.0968,0.0331,0.0961,-0.0209,-0.0166,0.0451,0.0672,0.0920,0.0470,0.1666,0.2253,0.1963,0.0627,0.1855,0.2548,0.3046,0.2132,0.1830,0.2788,0.1084
R021,0.0442,0.0876,0.0251,0.0719,0.0754,0.0796,0.0509,0.1565,0.0189,0.1129,0.0462,0.0965,0.0645,0.0169,0.0291,0.0515,0.0526,0.0855,0.7138,0.7372,1.0000,0.7380,0.2024,0.1993,0.1648,0.2086,0.1873,0.2429,0.1600,0.1666,0.0853,0.1073,0.1197,0.0779,0.1808,0.2114,0.0896,0.1143,0.2956,0.2463,0.2096,0.2653,0.2290,0.2084,0.2157,0.1872,0.1484,0.1582,0.2255,0.2281,-0.0222,-0.0561,0.0248,-0.0562,-0.0272,0.0207,0.0405,0.0288,-0.0710,-0.0185,0.0016,0.0622,0.0398,0.0752,-0.0751,0.0331,-0.0465,0.0390,0.1209,0.1218,0.1120,0.0442,0.1291,-0.0387,-0.0242,0.0684,0.0422,0.1817,0.0478,0.1406,0.2708,0.2120,0.1516,0.2477,0.2777,0.2629,0.2109,0.1859,0.2744,0.1684
R022,-0.0349,-0.0026,-0.0307,0.0172,0.0373,0.0233,-0.0422,0.0398,-0.0110,0.0434,0.0070,0.0138,-0.0027,-0.0222,-0.0472,0.0537,-0.0190,0.0325,0.7069,0.7175,0.7380,1.0000,0.1457,0.1194,0.1276,0.1312,0.1359,0.1494,0.1607,0.1595,0.0429,0.1153,0.1487,0.0838,0.1821,0.1966,0.1109,0.1303,0.2153,0.1960,0.0939,0.1812,0.1194,0.1810,0.1580,0.1470,0.0834,0.0727,0.1595,0.1454,-0.0578,-0.0379,-0.0344,-0.1238,-0.0952,0.0080,0.0454,0.0217,-0.1159,-0.0317,-0.0338,0.0170,-0.0445,-0.0197,-0.0964,-0.0171,-0.0839,-0.0269,0.0232,0.1092,0.0650,-0.0171,0.0505,-0.0859,-0.0556,-0.0289,-0.0157,0.0930,-0.0263,0.1033,0.1783,0.1803,0.0643,0.1527,0.2392,0.1859,0.2262,0.1980,0.1717,0.1250
R023,0.4158,0.3076,0.3608,0.4549,0.3580,0.3690,0.3940,0.3583,0.4008,0.3772,0.3151,0.4204,0.3582,0.3373,0.3628,0.2979,0.4574,0.4145,0.1761,0.2357,0.2024,0.1457,1.0000,0.7800,0.7695,0.7801,0.8162,0.8001,0.1462,0.1660,0.1643,0.1431,0.1486,0.0921,0.1791,0.1545,0.1958,0.1407,0.3413,0.3670,0.2747,0.3254,0.3576,0.1930,0.3233,0.2627,0.2927,0.3155,0.2534,0.3170,0.1073,0.1427,0.1373,0.1335,0.1867,0.2273,0.1288,0.0946,0.1116,0.1315,0.1902,0.1591,0.1315,0.1150,0.1201,0.1846,0.2258,0.0553,0.3271,0.3645,0.3361,0.3753,0.3051,0.3568,0.3535,0.4234,0.3592,0.3593,0.3778,0.3149,0.2402,0.1874,0.0927,0.1676,0.1843,0.1685,0.1709,0.2321,0.1923,0.1865
R024,0.4081,0.3584,0.4313,0.5024,0.3624,0.4290,0.4024,0.3798,0.4379,0.4375,0.4201,0.4470,0.4156,0.3658,0.4462,0.3873,0.4707,0.4549,0.1641,0.2417,0.1993,0.1194,0.7800,1.0000,0.7728,0.7816,0.8160,0.7908,0.2808,0.2633,0.2754,0.2596,0.2479,0.2349,0.2865,0.2772,0.2958,0.2919,0.3703,0.4660,0.3909,0.3962,0.4293,0.2882,0.4051,0.3432,0.3651,0.3769,0.3635,0.4050,0.1874,0.1891,0.1338,0.1658,0.2036,0.2628,0.2350,0.1449,0.1489,0.2038,0.2706,0.2195,0.1835,0.1624,0.1647,0.2279,0.2234,0.1183,0.2584,0.2548,0.2622,0.2934,0.1725,0.2830,0.2384,0.3777,0.2754,0.2408,0.3302,0.2413,0.2394,0.1607,0.0777,0.1333,0.2362,0.1646,0.2063,0.1833,0.2136,0.1673
R025,0.4574,0.3295,0.4339,0.4784,0.3408,0.4036,0.4435,0.4032,0.4296,0.4193,0.4115,0.4138,0.4078,0.3654,0.4003,0.4006,0.4432,0.4150,0.1809,0.2519,0.1648,0.1276,0.7695,0.7728,1.0000,0.7470,0.7716,0.7552,0.2486,0.2516,0.2408,0.2363,0.2343,0.2134,0.2725,0.2313,0.2797,0.2261,0.3735,0.4334,0.3731,0.3962,0.4214,0.2315,0.3915,0.2860,0.3639,0.3894,0.3545,0.3725,0.1113,0.0753,0.0544,0.0726,0.1594,0.1757,0.1454,0.1045,0.0569,0.1302,0.1536,0.1247,0.1323,0.0820,0.0613,0.1423,0.1717,0.0606,0.2908,0.3137,0.3038,0.3594,0.2256,0.3214,0.2789,0.3830,0.2855,0.2990,0.3292,0.3026,0.1974,0.1637,0.1058,0.1280,0.1870,0.1517,0.2013,0.1941,0.1480,0.2125
R026,0.3074,0.2414,0.3107,0.3879,0.2329,0.3307,0.3408,0.2821,0.3400,0.3297,0.2864,0.3383,0.3020,0.2302,0.3223,0.2854,0.3432,0.3101,0.2053,0.2606,0.2086,0.1312,0.7801,0.7816,0.7470,1.0000,0.8372,0.7968,0.2531,0.2792,0.2610,0.2743,0.2600,0.1929,0.2685,0.2622,0.2901,0.2516,0.4002,0.4347,0.3419,0.4084,0.4165,0.2926,0.3949,0.3539,0.3745,0.4108,0.3572,0.3736,0.1515,0.1291,0.1131,0.1294,0.2021,0.2274,0.1754,0.0988,0.0835,0.1525,0.1822,0.1795,0.1156,0.1120,0.1483,0.1718,0.1924,0.0868,0.2418,0.2779,0.2361,0.3321,0.2367,0.3035,0.2556,0.3586,0.2336,0.2963,0.3366,0.2932,0.1890,0.1644,0.1013,0.1245,0.1425,0.1058,0.1568,0.1365,0.1412,0.1358
R027,0.4507,0.3264,0.4160,0.4852,0.3720,0.4035,0.4305,0.4084,0.4900,0.4349,0.3925,0.4232,0.4165,0.3438,0.4494,0.3681,0.4614,0.4501,0.2018,0.2341,0.1873,0.1359,0.8162,0.8160,0.7716,0.8372,1.0000,0.8233,0.1853,0.2195,0.1881,0.1775,0.2182,0.1594,0.2139,0.1868,0.2262,0.2033,0.3775,0.4285,0.3195,0.3815,0.4265,0.2660,0.4066,0.3591,0.3803,0.3947,0.3728,0.4030,0.1252,0.1015,0.1059,0.1385,0.1465,0.1910,0.1748,0.1097,0.0702,0.1294,0.1583,0.1552,0.1099,0.0915,0.0869,0.1434,0.1673,0.0540,0.2623,0.2787,0.2863,0.3420,0.2140,0.2958,0.2982,0.3509,0.2648,0.2714,0.3227,0.2757,0.1165,0.1015,0.0214,0.0520,0.1071,0.0484,0.1047,0.1115,0.0837,0.0545
R028,0.4115,0.3311,0.3985,0.4579,0.3281,0.3673,0.4153,0.3768,0.4238,0.4017,0.3730,0.4236,0.3989,0.3245,0.3666,0.3555,0.4218,0.3808,0.2213,0.2934,0.2429,0.1494,0.8001,0.7908,0.7552,0.7968,0.8233,1.0000,0.2025,0.2473,0.2054,0.2117,0.2237,0.1591,0.2378,0.2319,0.2483,0.2214,0.3898,0.4831,0.3581,0.4266,0.4443,0.2971,0.4068,0.3947,0.4045,0.4037,0.3811,0.4235,0.1635,0.1661,0.1586,0.1683,0.1697,0.2501,0.2371,0.1554,0.0957,0.1650,0.2059,0.2106,0.1775,0.1608,0.1582,0.1939,0.2330,0.1051,0.2853,0.3394,0.3046,0.3662,0.2764,0.3442,0.3378,0.3974,0.3329,0.2853,0.3476,0.3261,0.1820,0.1156,0.0979,0.0909,0.1499,0.1404,0.1002,0.1317,0.1667,0.1373
R029,0.1003,0.1976,0.2106,0.1670,0.1066,0.1828,0.1614,0.1178,0.1907,0.1608,0.0681,0.2138,0.1205,0.0652,0.1599,0.1647,0.0862,0.1148,0.0346,0.1533,0.1600,0.1607,0.1462,0.2808,0.2486,0.2531,0.1853,0.2025,1.0000,0.7764,0.7637,0.7414,0.7845,0.7812,0.8061,0.7898,0.7774,0.7465,0.4060,0.4745,0.3977,0.4246,0.4236,0.4914,0.4127,0.4415,0.4320,0.3609,0.4218,0.4115,0.2396,0.1746,0.0912,0.1125,0.1825,0.1210,0.2454,0.2393,0.1592,0.2139,0.0955,0.2178,0.2186,0.0531,0.2066,0.2683,0.1362,0.2038,0.1319,0.1683,0.1170,0.2057,0.1285,0.1665,0.1553,0.1676,0.1709,0.1948,0.1823,0.2006,0.1905,0.0656,0.2236,0.2322,0.2389,0.1625,0.1721,0.2539,0.1945,0.1563
