,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R020,0.3022,0.3248,0.2188,0.2340,0.1787,0.1161,0.2184,0.1824,0.4875,0.4796,0.4689,0.4577,0.0841,0.2197,0.7796,0.8230,0.6718,0.7405,0.7860,1.0000,0.3551,0.4165,0.4408,0.4388,0.2567,0.2497,0.1559,0.3205,0.2078,0.1535,0.4333,0.3625,0.4248
R021,0.3817,0.2874,0.2277,0.3216,0.3364,0.3691,0.3148,0.3973,0.2338,0.2659,0.2445,0.2099,0.1770,0.1519,0.3571,0.4029,0.4485,0.3147,0.3114,0.3551,1.0000,0.7119,0.6380,0.6818,0.6808,0.6784,0.2589,0.2259,0.2726,0.2407,0.1980,0.1208,0.2914
R022,0.3963,0.2686,0.1202,0.2728,0.0887,0.1501,0.0926,0.1409,0.2486,0.2809,0.2447,0.2333,0.2022,0.1417,0.3821,0.4089,0.3950,0.3270,0.3612,0.4165,0.7119,1.0000,0.7058,0.7172,0.7347,0.6255,0.3677,0.3207,0.3223,0.3262,0.3479,0.1991,0.3940
R023,0.3279,0.2297,0.1362,0.2504,0.2553,0.2395,0.1652,0.2387,0.3381,0.3687,0.3077,0.3192,0.1378,0.1419,0.4176,0.4127,0.4071,0.3721,0.3242,0.4408,0.6380,0.7058,1.0000,0.6738,0.7378,0.6889,0.3793,0.3585,0.3711,0.3897,0.3838,0.2574,0.4409
R024,0.4057,0.3553,0.2128,0.3406,0.2966,0.3184,0.3021,0.3238,0.3049,0.3190,0.3046,0.3103,0.0612,0.1054,0.4287,0.4707,0.4574,0.3510,0.3749,0.4388,0.6818,0.7172,0.6738,1.0000,0.6581,0.6113,0.3023,0.2106,0.3157,0.2414,0.2176,0.1346,0.2872
R025,0.2417,0.1452,0.0227,0.2301,0.1247,0.1948,0.0497,0.1315,0.1240,0.1888,0.1253,0.1127,0.1679,0.1076,0.2424,0.2582,0.2967,0.2854,0.2205,0.2567,0.6808,0.7347,0.7378,0.6581,1.0000,0.6868,0.3969,0.2931,0.3466,0.3554,0.2859,0.1476,0.3934
R026,0.2488,0.1902,0.0510,0.1958,0.2286,0.2807,0.1619,0.2546,0.0925,0.1581,0.1182,0.0926,0.1552,0.0998,0.2728,0.2798,0.3039,0.2244,0.1996,0.2497,0.6784,0.6255,0.6889,0.6113,0.6868,1.0000,0.2800,0.2472,0.2801,0.2974,0.2349,0.2085,0.2629
R027,0.2461,0.1136,-0.0724,0.1512,0.0795,0.2492,0.0365,0.1528,-0.1565,-0.1941,-0.2513,-0.2326,0.0278,0.0930,0.2009,0.1766,0.3032,0.3019,0.1754,0.1559,0.2589,0.3677,0.3793,0.3023,0.3969,0.2800,1.0000,0.8076,0.8333,0.8170,0.1753,0.1513,0.2427
R028,0.1640,0.0748,-0.0931,0.0653,0.1042,0.2498,0.0814,0.1796,0.0123,-0.0305,-0.0914,-0.0748,0.0613,0.1476,0.2956,0.2619,0.3414,0.3291,0.2695,0.3205,0.2259,0.3207,0.3585,0.2106,0.2931,0.2472,0.8076,1.0000,0.7626,0.7755,0.2110,0.2533,0.2969
R029,0.2706,0.1563,0.0250,0.1979,0.1328,0.2718,0.0658,0.1836,-0.1428,-0.1664,-0.2600,-0.2193,0.0089,0.0552,0.2235,0.2201,0.3779,0.3262,0.2031,0.2078,0.2726,0.3223,0.3711,0.3157,0.3466,0.2801,0.8333,0.7626,1.0000,0.8304,0.1236,0.1497,0.2155
R030,0.1356,0.0034,-0.1774,-0.0052,0.1140,0.2627,0.0463,0.0968,-0.1460,-0.1921,-0.2940,-0.2497,-0.1263,-0.1326,0.1743,0.1520,0.2792,0.2977,0.1095,0.1535,0.2407,0.3262,0.3897,0.2414,0.3554,0.2974,0.8170,0.7755,0.8304,1.0000,0.3367,0.3500,0.3774
R031,0.1559,0.0505,-0.1489,-0.0125,0.0310,0.0428,0.0129,-0.0360,0.1525,0.1947,0.1482,0.1254,-0.2411,-0.2108,0.3404,0.2899,0.2065,0.3783,0.2587,0.4333,0.1980,0.3479,0.3838,0.2176,0.2859,0.2349,0.1753,0.2110,0.1236,0.3367,1.0000,0.7511,0.7526
R032,0.2376,0.1344,-0.0495,0.0502,0.0380,0.0907,-0.0043,-0.0272,0.0509,0.0870,0.0625,0.0115,-0.0894,-0.1473,0.3215,0.3138,0.2169,0.3519,0.2655,0.3625,0.1208,0.1991,0.2574,0.1346,0.1476,0.2085,0.1513,0.2533,0.1497,0.3500,0.7511,1.0000,0.6886
R033,0.2668,0.1609,-0.0146,0.1296,0.1297,0.1414,0.0725,0.0235,0.2269,0.2677,0.2246,0.1834,-0.0369,-0.0357,0.3708,0.3106,0.2245,0.3721,0.2649,0.4248,0.2914,0.3940,0.4409,0.2872,0.3934,0.2629,0.2427,0.2969,0.2155,0.3774,0.7526,0.6886,1.0000
