,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R011,0.7639,0.7742,0.8477,0.8119,0.7872,0.7557,0.7670,0.8030,0.8147,0.8077,1.0000,0.7190,0.7882,0.7759,0.8316,0.8256,0.7984,0.8082,-0.1118,-0.1107,-0.1482,-0.2085,0.2462,0.4080,0.3977,0.3013,0.4066,0.3438,0.0626,0.1348,0.1617,0.2302,0.1315,0.1639,0.1213,0.0933,0.1876,0.0866,0.2454,0.4074,0.2674,0.2132,0.3041,0.2579,0.2929,0.2954,0.2607,0.3112,0.3190,0.2784,0.3278,0.0562,0.0676,0.2352,0.2377,0.3385,0.1842,0.1714,0.2235,0.2421,0.2761,0.1345,0.1915,0.2868,0.0593,0.1877,0.2542,0.1086,0.0973,-0.0068,0.0576,0.1414,-0.0656,0.1144,0.1401,0.2105,0.1259,0.0957,0.2535,0.1719,-0.0912,0.1096,0.0935,-0.0770,-0.1340,0.0664,0.0467,0.0310,0.0662,0.0271
R012,0.7138,0.7540,0.7666,0.7185,0.6990,0.7408,0.7465,0.7526,0.7461,0.7477,0.7190,1.0000,0.7554,0.7090,0.7717,0.7434,0.7586,0.7571,-0.0439,-0.0735,-0.0256,-0.1845,0.3095,0.4173,0.3247,0.2843,0.3824,0.3599,0.2181,0.2314,0.2721,0.3575,0.1917,0.2400,0.2121,0.2145,0.2747,0.1416,0.2966,0.4892,0.3629,0.3124,0.4109,0.3362,0.3781,0.3797,0.3785,0.4168,0.3793,0.3674,0.3991,0.1223,0.1560,0.2544,0.2608,0.3645,0.2558,0.2932,0.2675,0.3276,0.3200,0.2677,0.3334,0.3770,0.1576,0.2610,0.3057,0.2253,0.1420,0.1339,0.1533,0.2561,0.0860,0.2001,0.2582,0.2691,0.2761,0.1395,0.3292,0.2352,0.0487,0.0291,0.2012,0.0373,-0.0456,0.1835,0.1049,0.0815,0.2436,0.1154
R013,0.7792,0.7828,0.7862,0.7833,0.7896,0.8064,0.7418,0.7284,0.8085,0.7598,0.7882,0.7554,1.0000,0.7798,0.8173,0.7731,0.8200,0.7696,-0.1151,-0.1388,-0.1705,-0.2447,0.2079,0.3875,0.3047,0.2591,0.3691,0.3211,0.0835,0.0351,0.1961,0.2406,0.0711,0.1543,0.1122,0.0779,0.2210,0.0688,0.2058,0.4065,0.3253,0.2306,0.3036,0.2747,0.2879,0.2748,0.2631,0.3043,0.2602,0.2796,0.4398,0.1713,0.2063,0.3341,0.3363,0.4205,0.2653,0.3009,0.3534,0.3579,0.3896,0.2885,0.3475,0.4187,0.1577,0.3011,0.3460,0.2560,0.1794,0.0778,0.1154,0.2018,-0.0090,0.1533,0.2695,0.2457,0.2541,0.0992,0.3485,0.1965,-0.1227,0.0324,0.0889,-0.0654,-0.0552,0.1007,0.0955,0.0290,0.1022,0.0599
R014,0.7478,0.7620,0.7929,0.7157,0.7984,0.7827,0.7820,0.7181,0.7804,0.7655,0.7759,0.7090,0.7798,1.0000,0.8129,0.7935,0.8054,0.8297,-0.1328,-0.1331,-0.1831,-0.2483,0.1989,0.3031,0.2609,0.1770,0.2818,0.2174,0.1042,0.0624,0.1898,0.1948,0.0862,0.1912,0.1171,0.0474,0.1600,0.0186,0.1825,0.3368,0.2442,0.1961,0.2947,0.2543,0.2622,0.2128,0.2323,0.2400,0.2146,0.2586,0.3426,0.1008,0.0814,0.1892,0.3072,0.3467,0.1507,0.1799,0.2474,0.2414,0.2943,0.1489,0.2272,0.2518,0.0633,0.2341,0.2907,0.1053,0.1142,-0.0332,0.1358,0.1143,-0.0771,0.0822,0.1366,0.1456,0.1779,0.0821,0.2464,0.1340,-0.0265,0.0810,0.1643,-0.0540,-0.0580,0.1472,0.1548,0.1364,0.2101,0.2083
R015,0.8166,0.7994,0.8876,0.7951,0.8135,0.8295,0.7858,0.8052,0.8431,0.8203,0.8316,0.7717,0.8173,0.8129,1.0000,0.8148,0.8304,0.8369,-0.1120,-0.0490,-0.0793,-0.1903,0.3630,0.4800,0.4414,0.3571,0.4498,0.3969,0.2062,0.2397,0.2834,0.3189,0.2534,0.2816,0.2271,0.2141,0.3389,0.1417,0.2797,0.4639,0.3601,0.2843,0.3745,0.3374,0.3644,0.2940,0.3160,0.3886,0.3345,0.3644,0.3473,0.0424,0.1072,0.2273,0.2479,0.3853,0.1862,0.2089,0.2476,0.2842,0.3032,0.1724,0.2490,0.3029,0.0921,0.2186,0.2794,0.1422,0.1947,0.1467,0.1606,0.2724,0.0134,0.1991,0.2505,0.2951,0.2797,0.1955,0.3690,0.2840,0.0344,0.1292,0.1036,0.0253,-0.0095,0.1592,0.1126,0.1374,0.1548,0.1830
R016,0.7541,0.7549,0.8496,0.6982,0.7544,0.7926,0.8055,0.7896,0.8144,0.7872,0.8256,0.7434,0.7731,0.7935,0.8148,1.0000,0.7854,0.7884,-0.0776,-0.0140,-0.1093,-0.1453,0.3139,0.4604,0.4800,0.3949,0.4603,0.4170,0.2244,0.2257,0.2929,0.3027,0.2544,0.3133,0.2861,0.2215,0.3036,0.2062,0.3130,0.4423,0.3466,0.3069,0.4129,0.3181,0.3775,0.3492,0.3588,0.4076,0.3620,0.3779,0.3084,0.0190,0.0758,0.1947,0.2563,0.3231,0.1916,0.1554,0.1794,0.2363,0.2890,0.1741,0.2016,0.2591,0.0773,0.2019,0.2793,0.1171,0.1174,0.0334,0.0708,0.2228,-0.0643,0.1684,0.1818,0.2027,0.1537,0.1318,0.3117,0.2862,-0.0581,0.0942,0.0935,-0.0273,-0.0180,0.0965,0.0977,0.0612,0.1066,0.1339
R017,0.7891,0.7579,0.8141,0.8004,0.7653,0.7926,0.7364,0.7621,0.8378,0.8088,0.7984,0.7586,0.8200,0.8054,0.8304,0.7854,1.0000,0.8496,-0.1683,-0.1090,-0.1442,-0.2402,0.3592,0.4465,0.4290,0.2990,0.4453,0.3674,0.1014,0.1148,0.2252,0.2210,0.1128,0.1588,0.1587,0.0619,0.2305,0.0620,0.1694,0.3057,0.2350,0.1533,0.2612,0.1860,0.2447,0.2205,0.1987,0.2648,0.2020,0.2067,0.5011,0.1610,0.2455,0.3108,0.3597,0.4765,0.2685,0.3060,0.3470,0.3665,0.4047,0.2717,0.3444,0.3936,0.2191,0.3221,0.4308,0.2365,0.2747,0.1821,0.3013,0.3056,0.1008,0.2814,0.3239,0.3551,0.3437,0.2256,0.4300,0.3051,0.0100,0.1636,0.1855,0.0559,0.0432,0.1973,0.2407,0.1637,0.2864,0.1712
R018,0.8245,0.7594,0.8604,0.7921,0.7887,0.7934,0.7685,0.7692,0.8325,0.7883,0.8082,0.7571,0.7696,0.8297,0.8369,0.7884,0.8496,1.0000,-0.1179,-0.0933,-0.1038,-0.1926,0.3666,0.4715,0.4078,0.3467,0.4452,0.3584,0.1590,0.1015,0.2288,0.2136,0.1579,0.2061,0.1715,0.0913,0.2214,0.0699,0.1770,0.3595,0.2259,0.1599,0.2638,0.2226,0.2420,0.1988,0.1807,0.2506,0.2184,0.2544,0.3757,0.0176,0.0723,0.1704,0.2605,0.3360,0.1861,0.1607,0.2545,0.2480,0.2956,0.1484,0.1868,0.2538,0.0557,0.1990,0.2648,0.0599,0.2184,0.0935,0.1740,0.2122,-0.0191,0.1794,0.2115,0.2479,0.2347,0.1801,0.3134,0.2253,0.0678,0.1260,0.1307,0.0484,-0.0418,0.1857,0.2068,0.1092,0.2166,0.1557
R019,-0.1831,-0.1091,-0.1207,-0.0912,-0.0566,-0.1434,-0.1021,-0.0677,-0.0752,-0.0546,-0.1118,-0.0439,-0.1151,-0.1328,-0.1120,-0.0776,-0.1683,-0.1179,1.0000,0.6020,0.6110,0.6690,0.1863,0.1636,0.1400,0.3487,0.2294,0.2178,0.0607,0.0997,-0.0099,0.0334,0.0707,0.0181,0.0338,0.0574,-0.0262,0.1576,0.1213,0.0864,0.1192,0.1406,-0.0002,0.0668,0.0686,0.0935,0.0887,0.1141,0.0595,0.1248,-0.2245,-0.2318,-0.1963,-0.2709,-0.2616,-0.1226,-0.0875,-0.1302,-0.1876,-0.1714,-0.1646,-0.2838,-0.1813,-0.1328,-0.1924,-0.2342,-0.1672,-0.1882,-0.1033,0.0502,-0.0866,-0.0119,0.0216,-0.1209,-0.2017,-0.0479,-0.1588,0.0617,-0.0438,0.0646,0.0002,-0.0682,-0.0525,-0.0231,0.0228,0.0601,-0.0275,-0.0690,-0.0003,-0.0725
R020,-0.1589,0.0080,-0.0408,-0.0577,-0.0866,-0.1384,-0.0676,-0.0472,-0.0220,-0.0049,-0.1107,-0.0735,-0.1388,-0.1331,-0.0490,-0.0140,-0.1090,-0.0933,0.6020,1.0000,0.6725,0.7309,0.2381,0.2454,0.2289,0.3619,0.2878,0.2795,0.1720,0.2235,0.0657,0.1186,0.2476,0.1552,0.2174,0.1850,0.1399,0.1780,0.0585,0.0992,0.1424,0.1243,0.0183,0.0157,0.0500,0.0189,0.0366,0.0924,0.0352,0.0834,-0.2517,-0.2623,-0.1831,-0.3191,-0.2111,-0.0708,-0.1709,-0.2705,-0.2174,-0.1943,-0.1241,-0.2499,-0.2475,-0.2002,-0.1712,-0.2461,-0.1337,-0.1935,0.0351,0.0900,-0.0562,0.0664,-0.0224,-0.0081,-0.1394,-0.0499,-0.1268,0.0114,-0.0384,0.2227,0.1986,0.1411,0.0055,0.1692,0.3323,0.2791,0.1922,0.1460,0.2638,0.0758
R021,-0.1792,-0.0350,-0.1378,-0.0680,-0.1128,-0.1220,-0.0596,-0.0712,-0.0681,-0.0582,-0.1482,-0.0256,-0.1705,-0.1831,-0.0793,-0.1093,-0.1442,-0.1038,0.6110,0.6725,1.0000,0.6700,0.2513,0.2484,0.1645,0.3711,0.2642,0.2821,0.1992,0.2789,0.1262,0.1169,0.1853,0.1283,0.1587,0.2167,0.0944,0.2187,0.1910,0.1334,0.1532,0.2103,0.0226,0.1007,0.1421,0.1148,0.0814,0.1626,0.1082,0.1967,-0.1270,-0.1273,-0.0275,-0.1564,-0.0541,0.0032,-0.0287,-0.1027,-0.1038,-0.0492,0.0217,-0.0822,-0.0574,-0.0329,-0.0243,-0.0787,-0.0206,-0.0501,0.1123,0.1883,0.0682,0.1030,0.0750,0.0062,-0.0670,0.0704,-0.0424,0.1353,0.0809,0.2175,0.2630,0.1260,0.1864,0.2856,0.3148,0.2055,0.1907,0.1291,0.2748,0.1493
R022,-0.3032,-0.2013,-0.2164,-0.1470,-0.1839,-0.2270,-0.2052,-0.1846,-0.1980,-0.1706,-0.2085,-0.1845,-0.2447,-0.2483,-0.1903,-0.1453,-0.2402,-0.1926,0.6690,0.7309,0.6700,1.0000,0.2493,0.1540,0.1518,0.2953,0.2528,0.2022,0.0506,0.1275,-0.0710,-0.0258,0.0743,0.0123,0.0472,0.0662,-0.0261,0.0756,0.0554,0.0550,-0.0292,0.0470,-0.1038,-0.0315,-0.0111,-0.0158,-0.0232,0.0061,-0.0165,0.0395,-0.2946,-0.2292,-0.1839,-0.2898,-0.2516,-0.1194,-0.1632,-0.2039,-0.2505,-0.2224,-0.1665,-0.2199,-0.2620,-0.1993,-0.1268,-0.2395,-0.1398,-0.2236,-0.0262,0.1062,-0.0033,0.0437,-0.0059,-0.0431,-0.0998,-0.0269,-0.0995,0.0719,-0.0612,0.1903,0.1714,0.1691,-0.0024,0.0896,0.2287,0.0788,0.1936,0.0746,0.1224,0.0462
R023,0.3515,0.2504,0.3887,0.4106,0.2862,0.2957,0.3604,0.2670,0.4169,0.3805,0.2462,0.3095,0.2079,0.1989,0.3630,0.3139,0.3592,0.3666,0.1863,0.2381,0.2513,0.2493,1.0000,0.7607,0.7588,0.7680,0.8198,0.7681,0.2377,0.2612,0.2821,0.2848,0.2934,0.2509,0.3052,0.2669,0.3358,0.2969,0.3342,0.3995,0.2905,0.2391,0.2623,0.2299,0.3086,0.2753,0.2334,0.3050,0.2780,0.2339,0.2819,0.1531,0.2465,0.2343,0.2307,0.4460,0.2068,0.2598,0.2430,0.2986,0.3437,0.2562,0.2087,0.2335,0.2508,0.2911,0.3705,0.1857,0.3662,0.4602,0.3825,0.4367,0.2690,0.3858,0.3605,0.4818,0.3264,0.4128,0.4546,0.3843,0.2714,0.2028,0.1677,0.1987,0.2339,0.2932,0.2191,0.1965,0.2276,0.2469
R024,0.4443,0.3862,0.5146,0.5105,0.3357,0.4464,0.4671,0.3740,0.5170,0.4904,0.4080,0.4173,0.3875,0.3031,0.4800,0.4604,0.4465,0.4715,0.1636,0.2454,0.2484,0.1540,0.7607,1.0000,0.7813,0.7953,0.8435,0.7839,0.3870,0.3998,0.3981,0.4423,0.4159,0.3999,0.4372,0.3904,0.4573,0.4478,0.3804,0.5331,0.4650,0.3500,0.3966,0.3463,0.4453,0.4026,0.3459,0.4113,0.4077,0.3858,0.3154,0.1530,0.2599,0.2413,0.2559,0.4267,0.3064,0.2767,0.2815,0.3318,0.4261,0.2962,0.2500,0.2722,0.2482,0.2894,0.3559,0.2225,0.2900,0.3032,0.2142,0.3049,0.0900,0.2646,0.2040,0.3883,0.2511,0.2477,0.4183,0.3137,0.1896,0.1165,0.0509,0.0679,0.2494,0.2020,0.1685,0.0534,0.1186,0.2003
R025,0.4371,0.3214,0.4971,0.4500,0.3566,0.3804,0.4640,0.3481,0.4513,0.4883,0.3977,0.3247,0.3047,0.2609,0.4414,0.4800,0.4290,0.4078,0.1400,0.2289,0.1645,0.1518,0.7588,0.7813,1.0000,0.7374,0.7954,0.7465,0.3488,0.3676,0.3516,0.3839,0.3945,0.3819,0.4135,0.3189,0.4388,0.3807,0.3944,0.4724,0.4545,0.3076,0.3919,0.3070,0.3877,0.3387,0.3234,0.4374,0.4105,0.3592,0.1947,0.0071,0.1544,0.1353,0.1333,0.3720,0.2143,0.2042,0.1786,0.2086,0.2865,0.1469,0.1464,0.1494,0.1397,0.1979,0.3145,0.1412,0.3391,0.3552,0.3106,0.4002,0.1254,0.3177,0.2846,0.4186,0.2454,0.3314,0.3564,0.4007,0.1992,0.1340,0.1191,0.0917,0.2426,0.2372,0.1898,0.1437,0.0942,0.2720
R026,0.3054,0.2768,0.4216,0.3860,0.2416,0.3011,0.3899,0.2809,0.4061,0.3926,0.3013,0.2843,0.2591,0.1770,0.3571,0.3949,0.2990,0.3467,0.3487,0.3619,0.3711,0.2953,0.7680,0.7953,0.7374,1.0000,0.8601,0.8274,0.3410,0.3849,0.3297,0.3926,0.4294,0.3435,0.3877,0.3509,0.4226,0.4053,0.4732,0.5184,0.4551,0.4097,0.3760,0.3807,0.4436,0.4284,0.3731,0.4818,0.4212,0.4051,0.2095,0.0367,0.1719,0.1362,0.1474,0.3603,0.1984,0.1905,0.1474,0.2430,0.2849,0.1985,0.1551,0.1846,0.1553,0.1728,0.3033,0.1269,0.2342,0.3005,0.1581,0.3120,0.1750,0.2251,0.2294,0.3438,0.1370,0.2988,0.3769,0.3587,0.1726,0.1408,0.1201,0.1134,0.1744,0.1579,0.1360,0.0499,0.0931,0.1522
R027,0.4450,0.3435,0.5221,0.4910,0.3444,0.3915,0.4642,0.3951,0.5377,0.4828,0.4066,0.3824,0.3691,0.2818,0.4498,0.4603,0.4453,0.4452,0.2294,0.2878,0.2642,0.2528,0.8198,0.8435,0.7954,0.8601,1.0000,0.8495,0.3190,0.3481,0.3054,0.3653,0.3849,0.3273,0.3562,0.3018,0.3726,0.3682,0.3929,0.4948,0.3685,0.3045,0.3353,0.2919,0.3941,0.3702,0.3096,0.3921,0.3797,0.3543,0.2924,0.0585,0.2004,0.2002,0.1766,0.4088,0.2283,0.2367,0.2001,0.2535,0.3110,0.2364,0.1854,0.2194,0.1835,0.2580,0.3125,0.1943,0.3002,0.3454,0.2656,0.3847,0.1668,0.2913,0.3112,0.4192,0.2454,0.2961,0.3932,0.3873,0.1287,0.1634,0.1056,0.1039,0.1853,0.1346,0.1584,0.0932,0.0841,0.1295
R028,0.3883,0.3623,0.4455,0.4358,0.2524,0.3358,0.4458,0.3610,0.4783,0.4257,0.3438,0.3599,0.3211,0.2174,0.3969,0.4170,0.3674,0.3584,0.2178,0.2795,0.2821,0.2022,0.7681,0.7839,0.7465,0.8274,0.8495,1.0000,0.3181,0.3349,0.3133,0.3534,0.3779,0.3107,0.3766,0.3305,0.3850,0.3839,0.4279,0.5579,0.4477,0.3755,0.4020,0.3671,0.4250,0.4726,0.3954,0.4574,0.4218,0.4043,0.3180,0.1569,0.3066,0.2931,0.2337,0.4765,0.3610,0.3255,0.2506,0.3378,0.4055,0.3078,0.3008,0.2929,0.2970,0.3378,0.4075,0.2742,0.2997,0.4196,0.2891,0.4054,0.2260,0.3503,0.3502,0.4573,0.3064,0.3176,0.4291,0.4153,0.1419,0.0730,0.1671,0.0379,0.2009,0.1993,0.0569,0.0473,0.0847,0.1646
R029,0.1077,0.1580,0.1888,0.1089,0.0858,0.2178,0.2006,0.1516,0.1752,0.2421,0.0626,0.2181,0.0835,0.1042,0.2062,0.2244,0.1014,0.1590,0.0607,0.1720,0.1992,0.0506,0.2377,0.3870,0.3488,0.3410,0.3190,0.3181,1.0000,0.7553,0.7490,0.6851,0.7402,0.7750,0.7795,0.7934,0.7444,0.7184,0.5093,0.5676,0.5297,0.5708,0.6012,0.5608,0.5593,0.5102,0.5848,0.5219,0.5398,0.5765,0.1557,0.1352,0.1788,0.0233,0.1331,0.1124,0.2108,0.2010,0.0104,0.2601,0.1127,0.1418,0.1535,0.1196,0.1336,0.2437,0.1519,0.1999,0.0559,0.1006,0.1059,0.2012,0.1420,0.1691,0.1201,0.1443,0.1999,0.2095,0.1775,0.3236,0.2503,0.0576,0.1873,0.3085,0.2296,0.1987,0.0576,0.2279,0.1239,0.1531
