,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033
R012,-0.0857,-0.2795,0.0487,-0.1607,0.3641,0.2249,0.1920,0.1618,0.8270,0.8360,0.7861,1.0000,0.3965,0.3559,0.3207,0.2338,0.2700,0.2688,0.2734,0.3242,0.5140,0.3994,0.3455,0.4039,0.4858,0.2366,0.1938,0.1763,0.0654,-0.0466,0.1626,-0.1963,-0.0513
R013,0.2096,0.1339,0.2385,0.1366,0.4209,0.2815,0.3116,0.1629,0.4991,0.4238,0.3297,0.3965,1.0000,0.8737,0.2177,0.0316,0.0730,0.1375,-0.0150,0.0751,0.3726,0.3549,0.1173,0.2666,0.3463,0.1054,0.0299,-0.1203,-0.1362,-0.2723,0.1872,0.2215,0.2087
R014,0.1709,0.0403,0.1770,0.0189,0.4225,0.2560,0.3274,0.1660,0.4788,0.4014,0.2648,0.3559,0.8737,1.0000,0.1896,0.0266,0.0171,0.1157,0.0169,0.0511,0.4066,0.3660,0.1930,0.3281,0.3861,0.1398,0.0203,-0.1531,-0.1503,-0.2557,0.2459,0.2680,0.2616
R015,0.1018,-0.0198,0.2317,0.1554,0.1934,0.1519,0.1075,0.1905,0.3647,0.5151,0.3994,0.3207,0.2177,0.1896,1.0000,0.8096,0.7539,0.7800,0.7545,0.7688,0.3412,0.3862,0.3012,0.2220,0.4287,0.2645,0.0617,0.0924,0.1161,0.0458,0.1077,-0.0965,-0.1302
R016,0.1447,0.0397,0.2839,0.2204,0.1390,0.1867,0.0865,0.2227,0.2551,0.3920,0.3487,0.2338,0.0316,0.0266,0.8096,1.0000,0.8193,0.8075,0.8439,0.8102,0.2995,0.3047,0.2626,0.1691,0.3250,0.2718,0.1276,0.1228,0.1565,0.1619,0.0360,-0.1402,-0.2859
R017,0.0776,-0.0292,0.1910,0.1436,0.2001,0.2169,0.1117,0.3134,0.2540,0.4098,0.3997,0.2700,0.0730,0.0171,0.7539,0.8193,1.0000,0.8240,0.7997,0.7889,0.1918,0.2409,0.1336,0.0741,0.2962,0.1719,0.1332,0.0992,0.1672,0.1232,0.0752,-0.1505,-0.2383
R018,0.1700,0.0114,0.1904,0.1569,0.1720,0.1871,0.0833,0.2164,0.2674,0.4075,0.3390,0.2688,0.1375,0.1157,0.7800,0.8075,0.8240,1.0000,0.7574,0.8344,0.2477,0.2342,0.1938,0.1356,0.3006,0.2161,0.1137,0.1455,0.1452,0.1208,0.0921,-0.0628,-0.1723
R019,0.1246,-0.0125,0.2237,0.1631,0.1066,0.1892,0.1439,0.2629,0.2826,0.4154,0.3720,0.2734,-0.0150,0.0169,0.7545,0.8439,0.7997,0.7574,1.0000,0.8212,0.2181,0.1853,0.2019,0.1396,0.2666,0.1779,0.1358,0.1164,0.2261,0.2113,0.0278,-0.2171,-0.3080
R020,0.0900,-0.0306,0.2109,0.1401,0.0457,0.1043,-0.0031,0.1119,0.3171,0.4864,0.3988,0.3242,0.0751,0.0511,0.7688,0.8102,0.7889,0.8344,0.8212,1.0000,0.2932,0.2512,0.2182,0.1656,0.3111,0.2517,0.1631,0.1235,0.1530,0.1799,0.1564,-0.1347,-0.2558
R021,0.0041,-0.1870,-0.0319,-0.1803,0.3046,0.0716,0.1043,0.0882,0.4679,0.4685,0.3831,0.5140,0.3726,0.4066,0.3412,0.2995,0.1918,0.2477,0.2181,0.2932,1.0000,0.7665,0.7556,0.7998,0.8044,0.6563,0.2870,0.2788,0.2152,0.1246,0.3440,0.2969,0.2671
R022,0.0751,-0.0563,0.0471,-0.0334,0.3400,0.1452,0.1279,0.1321,0.3457,0.3544,0.2827,0.3994,0.3549,0.3660,0.3862,0.3047,0.2409,0.2342,0.1853,0.2512,0.7665,1.0000,0.7071,0.7385,0.7746,0.6203,0.3423,0.3021,0.2657,0.1975,0.3552,0.3897,0.3014
R023,0.0074,-0.0568,-0.0027,-0.1076,0.1994,0.0555,0.0736,0.0810,0.2967,0.2945,0.2243,0.3455,0.1173,0.1930,0.3012,0.2626,0.1336,0.1938,0.2019,0.2182,0.7556,0.7071,1.0000,0.7816,0.6889,0.6181,0.3686,0.3147,0.2852,0.2372,0.2173,0.2742,0.2229
R024,0.0559,-0.0703,0.0158,-0.1422,0.2216,0.0355,0.0476,0.0331,0.3838,0.3364,0.2836,0.4039,0.2666,0.3281,0.2220,0.1691,0.0741,0.1356,0.1396,0.1656,0.7998,0.7385,0.7816,1.0000,0.7090,0.6341,0.3405,0.3150,0.2568,0.2026,0.3185,0.3827,0.3395
R025,-0.0517,-0.1891,-0.0365,-0.1434,0.3626,0.1315,0.1788,0.1752,0.4760,0.4152,0.3854,0.4858,0.3463,0.3861,0.4287,0.3250,0.2962,0.3006,0.2666,0.3111,0.8044,0.7746,0.6889,0.7090,1.0000,0.6395,0.3619,0.3098,0.3350,0.1936,0.3948,0.2686,0.1944
R026,-0.1101,-0.1825,-0.1786,-0.2169,0.1940,-0.0292,0.0271,0.1113,0.1251,0.1499,0.0845,0.2366,0.1054,0.1398,0.2645,0.2718,0.1719,0.2161,0.1779,0.2517,0.6563,0.6203,0.6181,0.6341,0.6395,1.0000,0.4123,0.4329,0.4001,0.3898,0.3731,0.3768,0.2807
R027,-0.0056,0.1057,0.0828,0.0749,0.3621,0.1697,0.2504,0.3048,0.1070,0.0751,0.1417,0.1938,0.0299,0.0203,0.0617,0.1276,0.1332,0.1137,0.1358,0.1631,0.2870,0.3423,0.3686,0.3405,0.3619,0.4123,1.0000,0.7011,0.7376,0.7098,0.2371,0.0860,0.1073
R028,-0.0220,0.0526,-0.0253,-0.0210,0.3114,0.1241,0.1794,0.3004,-0.0106,-0.0196,0.0130,0.1763,-0.1203,-0.1531,0.0924,0.1228,0.0992,0.1455,0.1164,0.1235,0.2788,0.3021,0.3147,0.3150,0.3098,0.4329,0.7011,1.0000,0.7675,0.7723,0.2323,0.1015,0.1573
R029,0.1006,0.1003,0.0507,0.0805,0.3470,0.2107,0.2404,0.4242,-0.0747,-0.0873,-0.0189,0.0654,-0.1362,-0.1503,0.1161,0.1565,0.1672,0.1452,0.2261,0.1530,0.2152,0.2657,0.2852,0.2568,0.3350,0.4001,0.7376,0.7675,1.0000,0.8222,0.2586,0.1208,0.1549
R030,0.0546,0.0973,0.0433,0.0495,0.1869,0.0946,0.0772,0.2746,-0.1736,-0.1789,-0.1301,-0.0466,-0.2723,-0.2557,0.0458,0.1619,0.1232,0.1208,0.2113,0.1799,0.1246,0.1975,0.2372,0.2026,0.1936,0.3898,0.7098,0.7723,0.8222,1.0000,0.1508,0.0745,0.0658
R031,-0.2232,-0.2644,-0.2320,-0.2266,0.2743,0.1055,0.1951,0.1275,0.0452,0.1006,0.0135,0.1626,0.1872,0.2459,0.1077,0.0360,0.0752,0.0921,0.0278,0.1564,0.3440,0.3552,0.2173,0.3185,0.3948,0.3731,0.2371,0.2323,0.2586,0.1508,1.0000,0.3963,0.4536
R032,0.0541,-0.0420,-0.0847,-0.1491,0.1255,-0.0178,0.0536,0.0001,-0.1521,-0.2236,-0.2977,-0.1963,0.2215,0.2680,-0.0965,-0.1402,-0.1505,-0.0628,-0.2171,-0.1347,0.2969,0.3897,0.2742,0.3827,0.2686,0.3768,0.0860,0.1015,0.1208,0.0745,0.3963,1.0000,0.6100
R033,-0.1132,-0.1876,-0.2020,-0.2575,0.3421,0.0153,0.2379,0.1013,-0.1334,-0.1057,-0.2048,-0.0513,0.2087,0.2616,-0.1302,-0.2859,-0.2383,-0.1723,-0.3080,-0.2558,0.2671,0.3014,0.2229,0.3395,0.1944,0.2807,0.1073,0.1573,0.1549,0.0658,0.4536,0.6100,1.0000
