,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068
R011,0.6211,0.6966,0.6362,0.7654,0.7719,0.6551,0.7079,0.6342,0.7297,0.7332,1.0000,0.7460,0.5326,0.7276,0.1573,0.1646,0.1375,0.1400,0.1400,0.1904,0.1856,0.1908,0.1600,0.2196,0.1067,0.1008,0.4468,0.4173,0.4803,0.4732,0.4963,0.4674,0.3929,0.4950,0.4610,0.4348,0.0961,0.1381,0.0352,0.0392,0.1873,0.1319,0.1015,0.0419,0.1049,0.2191,0.1243,0.1789,0.0074,0.0311,0.3203,0.4222,0.4347,0.5172,0.3832,0.3751,0.4017,0.2666,0.3928,0.5013,0.0300,0.0754,0.0084,-0.0524,0.0228,0.1315,-0.0050,-0.0953
R012,0.6754,0.7607,0.7249,0.7555,0.7316,0.6837,0.6982,0.7319,0.7559,0.7015,0.7460,1.0000,0.6284,0.7382,0.2402,0.1731,0.1094,0.1538,0.2090,0.1875,0.2190,0.2561,0.1715,0.2082,0.2293,0.0796,0.4188,0.3976,0.4334,0.4263,0.4731,0.4642,0.4256,0.4538,0.4118,0.4114,0.1750,0.2226,0.1165,0.0699,0.2686,0.2171,0.1768,0.1068,0.1666,0.3053,0.2347,0.2232,0.1437,0.1260,0.3292,0.4485,0.4743,0.5529,0.4699,0.4065,0.4337,0.2501,0.3957,0.5486,0.0348,0.1297,0.1283,0.0356,0.0475,0.1169,0.0215,-0.0493
R013,0.6220,0.5515,0.5987,0.5744,0.6071,0.5688,0.6225,0.5510,0.6103,0.6208,0.5326,0.6284,1.0000,0.6018,0.2002,0.2085,0.2214,0.1818,0.2640,0.2485,0.2180,0.2438,0.1528,0.2329,0.2308,0.1419,0.2652,0.1437,0.2246,0.2250,0.3160,0.2060,0.1780,0.2728,0.1772,0.2371,0.0544,0.0154,-0.0012,-0.0072,0.0933,-0.0072,-0.0163,-0.0078,-0.0283,0.0647,0.0398,0.0501,0.0180,-0.0161,0.3150,0.3907,0.3948,0.4406,0.4264,0.3655,0.4531,0.2005,0.3223,0.3677,0.0853,0.0871,0.0479,0.0904,0.1343,0.1477,0.0504,0.0628
R014,0.7174,0.6915,0.6350,0.7202,0.6974,0.6597,0.6921,0.6310,0.6913,0.6507,0.7276,0.7382,0.6018,1.0000,0.2614,0.2219,0.2176,0.2158,0.2578,0.2636,0.2348,0.2500,0.2406,0.2635,0.2521,0.0992,0.4802,0.3424,0.4182,0.3754,0.4813,0.4503,0.3722,0.4366,0.3949,0.4132,0.1677,0.1132,0.0405,0.0121,0.2269,0.1132,0.1238,0.0273,0.0874,0.2285,0.1327,0.1211,0.0193,0.0340,0.3176,0.4199,0.4190,0.5085,0.4470,0.3410,0.4822,0.2533,0.3916,0.5363,0.0738,0.0592,0.0314,0.0294,0.0795,0.0976,0.0070,-0.0385
R015,0.3296,0.1329,0.1422,0.2362,0.1498,0.1743,0.2484,0.2597,0.2332,0.0548,0.1573,0.2402,0.2002,0.2614,1.0000,0.7270,0.7035,0.7161,0.6798,0.7703,0.7211,0.6892,0.7013,0.6871,0.6132,0.7080,0.2763,0.1875,0.1249,0.1722,0.2435,0.2248,0.2937,0.2752,0.1082,0.2147,0.2078,0.2365,0.2140,0.2687,0.1115,0.1704,0.3203,0.1562,0.1830,0.2084,0.1205,0.0721,0.1574,0.0356,0.3265,0.3319,0.3846,0.3040,0.3749,0.2071,0.3453,0.2869,0.3264,0.3133,0.0604,0.2295,0.0406,0.0621,0.1915,-0.0615,0.0217,0.0747
R016,0.2466,0.0404,0.0546,0.1577,0.1201,0.0781,0.2507,0.1736,0.2253,0.1120,0.1646,0.1731,0.2085,0.2219,0.7270,1.0000,0.8026,0.7857,0.7653,0.7686,0.7481,0.7702,0.8129,0.7650,0.6436,0.7485,0.2651,0.2059,0.1006,0.2350,0.2099,0.2132,0.2670,0.2818,0.1042,0.2792,0.1222,0.0834,0.0641,0.1361,-0.0245,0.0782,0.1431,0.0392,0.0639,0.0564,-0.0491,0.0070,0.0964,-0.0967,0.3917,0.3380,0.3502,0.2550,0.3523,0.2224,0.3042,0.2280,0.2297,0.3351,0.1122,0.1163,-0.0572,0.0162,0.2051,0.0527,0.0016,0.0744
R017,0.2916,0.0200,0.0262,0.1756,0.0892,0.0886,0.1842,0.1907,0.1945,0.0269,0.1375,0.1094,0.2214,0.2176,0.7035,0.8026,1.0000,0.8010,0.7794,0.8568,0.7968,0.7835,0.8088,0.7626,0.7111,0.7908,0.1337,0.0195,-0.0909,0.0651,0.0746,0.0401,0.0740,0.0767,-0.0268,0.0881,0.0677,0.0863,0.0456,0.1305,-0.0405,0.0340,0.0950,0.0388,0.0566,0.0351,-0.0594,-0.0028,0.0730,-0.1033,0.3058,0.2912,0.3086,0.1631,0.2826,0.1800,0.2419,0.1720,0.2438,0.2364,0.0323,0.0405,-0.1140,0.0411,0.1239,-0.0304,-0.0417,0.0080
R018,0.2652,0.0379,0.0603,0.1346,0.1102,0.1213,0.1376,0.1560,0.1422,-0.0302,0.1400,0.1538,0.1818,0.2158,0.7161,0.7857,0.8010,1.0000,0.7738,0.8078,0.8160,0.7604,0.7869,0.7971,0.6860,0.7326,0.2560,0.1433,0.0685,0.2579,0.1653,0.1611,0.2271,0.1838,0.0691,0.2424,0.2376,0.2364,0.2133,0.2842,0.1380,0.2056,0.2563,0.2299,0.2200,0.2404,0.1073,0.1389,0.2322,0.0887,0.3510,0.3964,0.3890,0.2698,0.3804,0.2563,0.3442,0.2308,0.3571,0.3294,0.1650,0.2403,0.0345,0.1409,0.2072,0.0161,0.0827,0.1407
R019,0.3343,0.1392,0.1027,0.1915,0.1704,0.1067,0.2117,0.2617,0.2489,0.1047,0.1400,0.2090,0.2640,0.2578,0.6798,0.7653,0.7794,0.7738,1.0000,0.7605,0.7795,0.7665,0.8166,0.7221,0.7410,0.7122,0.1879,0.1108,-0.0168,0.1466,0.1346,0.1219,0.1957,0.1645,0.0454,0.1827,0.1169,0.0548,0.1045,0.1540,0.0352,0.0994,0.1252,0.0370,0.0561,0.0755,-0.0470,-0.0117,0.1207,-0.0800,0.2289,0.3102,0.3138,0.2075,0.3329,0.1634,0.2192,0.1546,0.2072,0.2275,0.1278,0.1813,0.0318,0.0937,0.1568,0.0729,0.0775,0.1745
R020,0.2790,0.0827,0.0965,0.2299,0.1325,0.1166,0.1966,0.2155,0.2145,0.0426,0.1904,0.1875,0.2485,0.2636,0.7703,0.7686,0.8568,0.8078,0.7605,1.0000,0.8436,0.7972,0.8010,0.8097,0.7084,0.8107,0.1834,0.0237,0.0013,0.1088,0.0969,0.0907,0.1333,0.1246,0.0081,0.1183,0.1965,0.1946,0.1222,0.2215,0.0800,0.1639,0.2477,0.1547,0.1590,0.1886,0.0727,0.0731,0.2249,0.0089,0.3218,0.3138,0.3066,0.1878,0.3185,0.1973,0.3067,0.2114,0.2684,0.2880,0.0825,0.1556,-0.1048,0.0016,0.1595,-0.0701,-0.0279,-0.0044
R021,0.3063,0.1186,0.1034,0.2422,0.1411,0.1749,0.1999,0.2103,0.2563,0.0680,0.1856,0.2190,0.2180,0.2348,0.7211,0.7481,0.7968,0.8160,0.7795,0.8436,1.0000,0.7879,0.7921,0.8067,0.7189,0.7710,0.1939,0.0700,0.0011,0.1725,0.1258,0.0750,0.1540,0.1358,0.0205,0.1175,0.2068,0.2040,0.1724,0.2046,0.0927,0.1526,0.2033,0.1789,0.1638,0.1619,0.0755,0.1368,0.2198,0.0196,0.3528,0.3730,0.4223,0.2457,0.3769,0.2714,0.3607,0.3350,0.3775,0.3807,0.0633,0.1838,0.0029,0.0749,0.2048,-0.0019,0.0440,0.0286
R022,0.3076,0.1422,0.1233,0.2479,0.1661,0.1611,0.2431,0.2574,0.2904,0.1282,0.1908,0.2561,0.2438,0.2500,0.6892,0.7702,0.7835,0.7604,0.7665,0.7972,0.7879,1.0000,0.7892,0.7650,0.6987,0.7104,0.1772,0.1199,0.0396,0.1739,0.1604,0.1450,0.2210,0.1930,0.0682,0.1839,0.1711,0.1172,0.0731,0.2157,0.0131,0.1429,0.1980,0.1251,0.1386,0.1426,0.0241,0.0664,0.1485,-0.0470,0.3676,0.3887,0.3366,0.2510,0.3694,0.2413,0.3046,0.2598,0.3027,0.3578,0.0629,0.1265,-0.0356,0.0334,0.2191,-0.0393,0.0108,0.0324
R023,0.3164,0.1044,0.0513,0.1683,0.1395,0.1113,0.1932,0.2563,0.2283,0.0826,0.1600,0.1715,0.1528,0.2406,0.7013,0.8129,0.8088,0.7869,0.8166,0.8010,0.7921,0.7892,1.0000,0.8041,0.7195,0.8097,0.2369,0.1665,0.0794,0.2218,0.2098,0.1733,0.2198,0.2225,0.1185,0.2120,0.1750,0.1306,0.0699,0.2190,0.0249,0.1135,0.1649,0.0937,0.1000,0.1192,-0.0222,0.0278,0.1339,-0.0470,0.3220,0.2973,0.3278,0.1638,0.3017,0.1551,0.2650,0.1982,0.2945,0.2578,0.2174,0.2190,0.0366,0.1028,0.2631,0.0995,0.1136,0.1178
R024,0.3199,0.1014,0.0990,0.2353,0.2061,0.1656,0.2207,0.2721,0.2495,0.1294,0.2196,0.2082,0.2329,0.2635,0.6871,0.7650,0.7626,0.7971,0.7221,0.8097,0.8067,0.7650,0.8041,1.0000,0.7052,0.7894,0.2228,0.1273,0.0707,0.1943,0.1956,0.1569,0.1690,0.2302,0.0579,0.1711,0.1488,0.1378,0.0901,0.1754,-0.0143,0.1236,0.1888,0.1369,0.1186,0.1445,-0.0075,0.0283,0.1040,-0.0498,0.2712,0.2901,0.3183,0.2024,0.3286,0.2555,0.3472,0.2203,0.2557,0.2845,0.0881,0.1503,-0.0842,0.0033,0.1336,0.0007,0.0531,0.0491
R025,0.3147,0.0346,0.0365,0.1782,0.1248,0.0761,0.1999,0.2771,0.2329,0.0671,0.1067,0.2293,0.2308,0.2521,0.6132,0.6436,0.7111,0.6860,0.7410,0.7084,0.7189,0.6987,0.7195,0.7052,1.0000,0.6732,0.1532,0.1013,0.0070,0.1478,0.1435,0.1246,0.1463,0.1819,0.0609,0.1740,0.0820,0.0326,0.0269,0.1222,-0.0459,0.0425,0.0832,0.0079,0.0558,0.0239,-0.0705,0.0109,0.0466,-0.1363,0.2069,0.2480,0.2746,0.1585,0.3330,0.2138,0.1982,0.1581,0.2381,0.2593,0.1223,0.0506,-0.0249,0.0840,0.0898,-0.0428,-0.0487,0.0550
R026,0.2137,-0.0505,-0.0033,0.1516,0.1084,0.0374,0.1363,0.1966,0.1423,0.0160,0.1008,0.0796,0.1419,0.0992,0.7080,0.7485,0.7908,0.7326,0.7122,0.8107,0.7710,0.7104,0.8097,0.7894,0.6732,1.0000,0.1366,0.0642,0.0040,0.1266,0.1738,0.0750,0.1568,0.1304,0.0083,0.1205,0.0627,0.0444,0.0143,0.1364,-0.0877,0.0323,0.0994,0.0361,-0.0005,0.0431,-0.0926,-0.0635,0.0567,-0.1310,0.2229,0.1687,0.2672,0.0789,0.2250,0.1903,0.2049,0.1485,0.2094,0.1470,0.0893,0.1975,-0.0626,0.0580,0.1585,0.0256,0.0486,0.0993
R027,0.3401,0.4247,0.4816,0.3152,0.4537,0.4637,0.4726,0.4401,0.3955,0.3878,0.4468,0.4188,0.2652,0.4802,0.2763,0.2651,0.1337,0.2560,0.1879,0.1834,0.1939,0.1772,0.2369,0.2228,0.1532,0.1366,1.0000,0.7289,0.7365,0.7275,0.7541,0.8131,0.7157,0.7563,0.7266,0.7536,0.2202,0.2315,0.1731,0.1772,0.2177,0.1729,0.2176,0.1358,0.1251,0.2416,0.1607,0.0860,0.1032,0.1276,0.2155,0.2416,0.4213,0.4336,0.3203,0.2961,0.3623,0.2164,0.2610,0.3979,0.0425,0.1152,0.0400,-0.0654,0.0503,0.0845,-0.1103,0.0469
R028,0.2683,0.4194,0.4299,0.2891,0.3763,0.3673,0.4015,0.3133,0.3246,0.3850,0.4173,0.3976,0.1437,0.3424,0.1875,0.2059,0.0195,0.1433,0.1108,0.0237,0.0700,0.1199,0.1665,0.1273,0.1013,0.0642,0.7289,1.0000,0.7822,0.7451,0.7713,0.8268,0.7915,0.7703,0.8082,0.7915,0.2555,0.2644,0.1978,0.1890,0.2073,0.2110,0.2517,0.1405,0.2094,0.2542,0.1403,0.1189,0.0967,0.1760,0.1856,0.2194,0.3728,0.4265,0.3176,0.2544,0.2486,0.3357,0.1828,0.3428,0.2377,0.1564,0.2151,0.0158,0.2042,0.2756,0.0825,0.1380
R029,0.3297,0.5051,0.5027,0.3702,0.4506,0.4400,0.4475,0.3772,0.4424,0.4722,0.4803,0.4334,0.2246,0.4182,0.1249,0.1006,-0.0909,0.0685,-0.0168,0.0013,0.0011,0.0396,0.0794,0.0707,0.0070,0.0040,0.7365,0.7822,1.0000,0.7882,0.7374,0.8140,0.7432,0.7771,0.8353,0.7656,0.1928,0.2840,0.2010,0.1953,0.2196,0.2348,0.2435,0.1433,0.1808,0.3082,0.2174,0.1243,0.1388,0.2045,0.2671,0.2794,0.3989,0.4976,0.3923,0.3699,0.3656,0.3554,0.2632,0.4349,0.1048,0.1219,0.1081,-0.0610,0.1161,0.1343,-0.0230,0.0818
R030,0.3248,0.4168,0.4217,0.3119,0.4053,0.3830,0.4117,0.4259,0.4006,0.4186,0.4732,0.4263,0.2250,0.3754,0.1722,0.2350,0.0651,0.2579,0.1466,0.1088,0.1725,0.1739,0.2218,0.1943,0.1478,0.1266,0.7275,0.7451,0.7882,1.0000,0.7602,0.7547,0.7790,0.7719,0.7348,0.8231,0.1859,0.2274,0.1433,0.1898,0.1727,0.1859,0.1538,0.0765,0.1409,0.2647,0.1516,0.0530,0.1302,0.1269,0.2523,0.3409,0.4919,0.4581,0.3731,0.4079,0.4062,0.2837,0.2779,0.4612,0.1820,0.1287,0.1059,-0.0333,0.1422,0.1271,-0.0253,0.0842
R031,0.4432,0.4630,0.4968,0.4122,0.4734,0.4960,0.4932,0.4905,0.4421,0.5214,0.4963,0.4731,0.3160,0.4813,0.2435,0.2099,0.0746,0.1653,0.1346,0.0969,0.1258,0.1604,0.2098,0.1956,0.1435,0.1738,0.7541,0.7713,0.7374,0.7602,1.0000,0.7803,0.8076,0.7895,0.7504,0.8044,0.1406,0.1565,0.0961,0.1346,0.1077,0.0983,0.1312,0.0056,0.0707,0.1724,0.0658,-0.0003,0.0228,0.0553,0.2997,0.3227,0.5340,0.5542,0.4834,0.4462,0.4313,0.3063,0.3279,0.5058,0.1222,0.0986,0.0474,-0.1052,0.0926,0.0998,-0.0334,0.0622
R032,0.3561,0.4760,0.4222,0.3290,0.4710,0.4760,0.4450,0.3855,0.4109,0.4608,0.4674,0.4642,0.2060,0.4503,0.2248,0.2132,0.0401,0.1611,0.1219,0.0907,0.0750,0.1450,0.1733,0.1569,0.1246,0.0750,0.8131,0.8268,0.8140,0.7547,0.7803,1.0000,0.7808,0.8048,0.7844,0.8121,0.1903,0.2323,0.1391,0.1538,0.1546,0.1448,0.2418,0.1092,0.1370,0.2612,0.1527,0.0650,0.0786,0.1237,0.2242,0.2690,0.4162,0.4987,0.3503,0.3276,0.3588,0.2993,0.2374,0.4272,0.1256,0.1299,0.1049,-0.0775,0.0740,0.1716,-0.0625,0.0770
R033,0.3451,0.3784,0.4484,0.2787,0.3850,0.3107,0.3954,0.4042,0.3970,0.4395,0.3929,0.4256,0.1780,0.3722,0.2937,0.2670,0.0740,0.2271,0.1957,0.1333,0.1540,0.2210,0.2198,0.1690,0.1463,0.1568,0.7157,0.7915,0.7432,0.7790,0.8076,0.7808,1.0000,0.8008,0.7416,0.8113,0.1226,0.1294,0.0581,0.0977,0.0941,0.1237,0.1394,0.0071,0.0550,0.1408,0.0672,-0.0315,0.0267,0.0313,0.2941,0.2725,0.5064,0.4540,0.4272,0.3302,0.3500,0.2668,0.2722,0.4442,0.1664,0.0954,0.0814,-0.0285,0.0944,0.1346,-0.0401,0.0696
R034,0.3740,0.4537,0.4867,0.3454,0.4335,0.4690,0.4409,0.4316,0.4416,0.5146,0.4950,0.4538,0.2728,0.4366,0.2752,0.2818,0.0767,0.1838,0.1645,0.1246,0.1358,0.1930,0.2225,0.2302,0.1819,0.1304,0.7563,0.7703,0.7771,0.7719,0.7895,0.8048,0.8008,1.0000,0.7592,0.8123,0.1058,0.0728,-0.0037,0.0543,0.0302,0.1024,0.0972,-0.0466,-0.0197,0.1093,-0.0225,-0.0480,-0.0704,-0.0320,0.2360,0.2328,0.4228,0.4272,0.3299,0.3552,0.3332,0.2659,0.2764,0.3819,0.0576,-0.0030,-0.0122,-0.1241,0.0145,0.0925,-0.1158,-0.0344
R035,0.3490,0.4740,0.4769,0.3260,0.4151,0.4105,0.4172,0.4049,0.4083,0.4722,0.4610,0.4118,0.1772,0.3949,0.1082,0.1042,-0.0268,0.0691,0.0454,0.0081,0.0205,0.0682,0.1185,0.0579,0.0609,0.0083,0.7266,0.8082,0.8353,0.7348,0.7504,0.7844,0.7416,0.7592,1.0000,0.7520,0.2415,0.3264,0.1954,0.2418,0.2979,0.2937,0.2105,0.2020,0.2062,0.3274,0.2609,0.1868,0.1902,0.2411,0.1882,0.2375,0.3623,0.4192,0.3342,0.2940,0.2946,0.3259,0.2316,0.3484,0.1220,0.1044,0.0874,-0.0277,0.0872,0.1502,-0.0451,0.0675
R036,0.3295,0.4008,0.4308,0.3016,0.4422,0.4216,0.4466,0.3960,0.3689,0.3902,0.4348,0.4114,0.2371,0.4132,0.2147,0.2792,0.0881,0.2424,0.1827,0.1183,0.1175,0.1839,0.2120,0.1711,0.1740,0.1205,0.7536,0.7915,0.7656,0.8231,0.8044,0.8121,0.8113,0.8123,0.7520,1.0000,0.1683,0.1580,0.1116,0.1231,0.1455,0.1686,0.1594,0.0539,0.0931,0.2014,0.1037,-0.0011,0.0365,0.0862,0.2818,0.3185,0.4711,0.5165,0.4017,0.3783,0.3314,0.2864,0.2346,0.4275,0.1653,0.1253,0.0758,-0.0063,0.1223,0.1164,-0.0419,0.0914
R037,0.0117,0.1965,0.2373,0.1690,0.1191,0.1974,0.0651,0.0887,-0.0050,-0.0025,0.0961,0.1750,0.0544,0.1677,0.2078,0.1222,0.0677,0.2376,0.1169,0.1965,0.2068,0.1711,0.1750,0.1488,0.0820,0.0627,0.2202,0.2555,0.1928,0.1859,0.1406,0.1903,0.1226,0.1058,0.2415,0.1683,1.0000,0.7737,0.6968,0.7297,0.7691,0.7488,0.7931,0.7323,0.7748,0.7556,0.7668,0.6750,0.7136,0.7446,0.1952,0.3782,0.2423,0.1911,0.3464,0.2176,0.2952,0.3724,0.3410,0.3195,0.3199,0.3845,0.3516,0.3032,0.3363,0.1804,0.2948,0.2278
R038,0.0681,0.2715,0.2221,0.1934,0.0832,0.2324,0.0774,0.1167,0.0648,-0.0218,0.1381,0.2226,0.0154,0.1132,0.2365,0.0834,0.0863,0.2364,0.0548,0.1946,0.2040,0.1172,0.1306,0.1378,0.0326,0.0444,0.2315,0.2644,0.2840,0.2274,0.1565,0.2323,0.1294,0.0728,0.3264,0.1580,0.7737,1.0000,0.7902,0.7782,0.8267,0.8178,0.8386,0.8078,0.8384,0.8333,0.8406,0.7565,0.8398,0.8376,0.1907,0.4051,0.2957,0.2493,0.3236,0.3003,0.3445,0.3574,0.3314,0.3780,0.2622,0.3823,0.3399,0.2095,0.3316,0.0922,0.2866,0.2200
R039,-0.0493,0.2080,0.1778,0.1661,0.0687,0.2290,0.0432,0.0406,-0.0195,-0.0754,0.0352,0.1165,-0.0012,0.0405,0.2140,0.0641,0.0456,0.2133,0.1045,0.1222,0.1724,0.0731,0.0699,0.0901,0.0269,0.0143,0.1731,0.1978,0.2010,0.1433,0.0961,0.1391,0.0581,-0.0037,0.1954,0.1116,0.6968,0.7902,1.0000,0.7617,0.7450,0.7327,0.7797,0.7591,0.7585,0.7282,0.7558,0.7245,0.7642,0.7868,0.1469,0.3255,0.2484,0.1942,0.2604,0.2299,0.2571,0.3008,0.2360,0.3337,0.1979,0.3592,0.3942,0.2410,0.3042,0.0944,0.2514,0.2758
