,R001,R002,R003,R004,R005,R006,R007,R008,R009,R010,R011,R012,R013,R014,R015,R016,R017,R018,R019,R020,R021,R022,R023,R024,R025,R026,R027,R028,R029,R030,R031,R032,R033,R034,R035,R036,R037,R038,R039,R040,R041,R042,R043,R044,R045,R046,R047,R048,R049,R050,R051,R052,R053,R054,R055,R056,R057,R058,R059,R060,R061,R062,R063,R064,R065,R066,R067,R068,R069,R070,R071,R072,R073,R074,R075,R076,R077,R078,R079,R080,R081,R082,R083,R084,R085,R086,R087,R088,R089,R090
R011,0.7013,0.5781,0.6607,0.5872,0.6545,0.6660,0.6998,0.6984,0.6339,0.6354,1.0000,0.7032,0.6504,0.6647,0.6423,0.6815,0.6738,0.6424,0.2637,0.2632,0.2405,0.2226,0.3839,0.4322,0.4252,0.2715,0.3785,0.4022,0.0735,-0.0180,0.0144,-0.0921,-0.0188,0.0488,-0.0367,0.0065,0.0122,-0.0126,0.3105,0.3756,0.2914,0.3472,0.3773,0.2228,0.2776,0.1130,0.3756,0.2362,0.1652,0.2742,-0.0605,0.0144,-0.1531,-0.0729,-0.1044,-0.0890,-0.0178,-0.0053,-0.2195,-0.0793,-0.0212,-0.0447,-0.0507,-0.1096,-0.1992,-0.0415,-0.1769,-0.1407,0.2624,0.1758,0.3687,0.2112,0.3579,0.2094,0.2798,0.3197,0.2514,0.2167,0.2401,0.3378,0.2188,0.1807,0.0575,0.2352,0.2315,0.1732,0.2742,0.2841,0.2969,0.1756
R012,0.8143,0.6393,0.6870,0.7859,0.6913,0.7039,0.7092,0.6788,0.7520,0.6807,0.7032,1.0000,0.7586,0.6692,0.6508,0.6498,0.7550,0.7277,0.2662,0.1909,0.2187,0.2120,0.5314,0.4767,0.5030,0.3923,0.4640,0.4873,0.2095,0.1313,0.1556,0.0434,0.0982,0.1231,0.1400,0.1897,0.1583,0.1018,0.4582,0.5303,0.3836,0.4726,0.4987,0.3236,0.4469,0.2906,0.5017,0.4080,0.3003,0.4807,0.0331,0.1734,-0.1101,0.0065,0.0975,-0.0530,0.0513,0.0097,-0.0429,0.1115,0.0774,0.0803,0.0823,-0.0486,-0.0540,0.0325,-0.0302,-0.0900,0.2079,0.2315,0.2587,0.1420,0.2600,0.1619,0.2671,0.2128,0.2017,0.1909,0.2107,0.2238,0.1426,0.1221,0.0192,0.1190,0.1828,0.1448,0.2228,0.2476,0.1892,0.1160
R013,0.7259,0.6053,0.6045,0.7482,0.6617,0.6877,0.7309,0.7281,0.6821,0.7080,0.6504,0.7586,1.0000,0.7184,0.6418,0.6698,0.6989,0.6722,0.3441,0.2979,0.2995,0.2393,0.5086,0.4437,0.5110,0.3449,0.4639,0.4767,0.1575,0.0748,0.1083,0.0229,0.1060,0.1139,0.0729,0.1503,0.1230,0.0721,0.4362,0.4117,0.3499,0.4303,0.4502,0.2234,0.3840,0.2563,0.4221,0.3577,0.3007,0.3613,-0.0079,0.1247,-0.0846,-0.0465,0.0880,-0.1290,0.0671,0.0984,-0.1096,0.0586,-0.0035,0.0452,0.1610,-0.0495,-0.1047,0.0937,-0.0405,-0.1132,0.2191,0.2175,0.2233,0.2073,0.2869,0.1669,0.2729,0.2241,0.2379,0.2359,0.2635,0.2322,0.2138,0.1898,0.0007,0.1601,0.1320,0.1188,0.2662,0.2676,0.2229,0.1827
R014,0.6921,0.5314,0.5806,0.6525,0.6396,0.6549,0.6538,0.6385,0.5567,0.6369,0.6647,0.6692,0.7184,1.0000,0.6207,0.6729,0.7333,0.6425,0.2898,0.2597,0.2170,0.2038,0.4757,0.4286,0.4700,0.2834,0.4058,0.4316,0.0261,-0.0993,-0.1149,-0.0795,-0.0716,-0.0362,-0.0012,0.0123,-0.0034,-0.0473,0.3687,0.3526,0.3037,0.4190,0.3742,0.2107,0.3378,0.2132,0.4167,0.3169,0.1779,0.3661,-0.0420,0.0842,-0.0472,-0.1164,0.0091,-0.0948,0.0191,-0.0028,-0.2021,0.0284,0.0604,-0.0181,0.0776,-0.0455,-0.1680,-0.0108,-0.0573,-0.0867,0.1461,0.1037,0.1897,0.0352,0.1585,0.0791,0.1997,0.1336,0.2062,0.1053,0.1132,0.1606,0.2277,0.2288,0.0756,0.1617,0.1960,0.2382,0.2183,0.2503,0.2420,0.2071
R015,0.6878,0.6148,0.6237,0.6656,0.5783,0.6158,0.6142,0.6413,0.6660,0.6261,0.6423,0.6508,0.6418,0.6207,1.0000,0.6671,0.6458,0.6738,0.1396,0.0753,0.1375,0.0959,0.3626,0.4125,0.3592,0.2875,0.4490,0.3364,0.1135,0.0443,0.0486,-0.0308,0.0770,0.0594,0.0392,0.1067,0.0597,0.0864,0.4424,0.3974,0.4040,0.4505,0.4646,0.2648,0.4329,0.2995,0.5086,0.3968,0.3039,0.4081,0.0316,0.1798,-0.0609,-0.0349,-0.0175,-0.0341,0.0737,0.0725,-0.0618,0.0853,0.1243,-0.0398,0.0875,-0.0108,-0.0631,0.0023,0.0075,-0.0479,0.1668,0.1531,0.2521,0.1216,0.1940,0.1493,0.2259,0.1357,0.1281,0.1207,0.2188,0.2538,0.1282,0.1202,0.0180,0.0554,0.1084,0.0787,0.1823,0.1742,0.1132,0.0857
R016,0.6843,0.5811,0.5912,0.6277,0.6479,0.6874,0.7097,0.6052,0.6543,0.6848,0.6815,0.6498,0.6698,0.6729,0.6671,1.0000,0.6548,0.6362,0.2558,0.2598,0.2122,0.2528,0.2819,0.3142,0.3213,0.1758,0.2759,0.2940,0.1049,0.0326,-0.0145,-0.0106,0.0294,0.0280,-0.0149,0.1135,0.0265,0.0444,0.4291,0.4367,0.3017,0.3945,0.3718,0.2552,0.3440,0.3058,0.4471,0.3244,0.3061,0.3573,-0.0221,0.0734,-0.1068,-0.1787,-0.1293,-0.1948,-0.0660,-0.0482,-0.1760,0.0449,-0.0320,-0.1018,0.0673,-0.0497,-0.1155,0.0168,-0.0987,-0.1767,0.1748,0.1913,0.2705,0.0579,0.2798,0.0653,0.2047,0.1141,0.1549,0.1344,0.1617,0.2246,0.1267,0.2052,0.0025,0.0841,0.1459,0.1442,0.2283,0.2291,0.2264,0.1380
R017,0.7081,0.5635,0.6287,0.6854,0.6592,0.6546,0.6812,0.6966,0.6516,0.7044,0.6738,0.7550,0.6989,0.7333,0.6458,0.6548,1.0000,0.7056,0.2820,0.2310,0.2493,0.2023,0.5557,0.4950,0.4574,0.3873,0.4776,0.4762,0.0709,-0.0239,-0.0241,-0.0630,-0.0475,-0.0126,0.0018,0.0240,0.0010,-0.0283,0.3927,0.4356,0.3117,0.4327,0.5076,0.2209,0.3463,0.2737,0.4393,0.3494,0.2589,0.3744,-0.1020,0.0191,-0.1637,-0.1545,-0.0411,-0.1325,-0.0863,-0.0159,-0.1944,-0.0795,-0.1027,-0.0516,-0.0239,-0.1693,-0.2287,-0.0952,-0.1190,-0.2048,0.2687,0.2197,0.3019,0.1829,0.2956,0.1718,0.3443,0.2301,0.2565,0.2260,0.2567,0.2580,0.1697,0.2478,0.0136,0.1683,0.1641,0.1637,0.2032,0.2870,0.2322,0.2165
R018,0.7719,0.5907,0.6953,0.6913,0.6738,0.6818,0.6981,0.6532,0.7249,0.6510,0.6424,0.7277,0.6722,0.6425,0.6738,0.6362,0.7056,1.0000,0.3069,0.2031,0.2748,0.2575,0.4625,0.4383,0.4222,0.2734,0.4551,0.4032,0.0706,-0.0015,0.0084,-0.0379,-0.0098,0.0175,0.0511,0.0629,0.0005,-0.0051,0.3970,0.4132,0.4099,0.3997,0.4207,0.2684,0.4932,0.3425,0.5058,0.3620,0.2540,0.4661,-0.0916,0.0593,-0.1455,-0.1483,0.0347,-0.1052,0.0418,-0.0649,-0.1651,0.0480,-0.0330,-0.0529,0.0424,-0.1093,-0.2115,-0.0161,-0.0813,-0.1550,0.1338,0.0885,0.1450,0.0550,0.1976,0.0958,0.1432,0.1230,0.1350,0.1233,0.1181,0.1649,0.0350,0.0504,-0.1279,0.0087,0.0777,0.0410,0.1552,0.1693,0.1375,0.0500
R019,0.3324,0.1463,0.1709,0.2613,0.2685,0.3029,0.1692,0.3525,0.1990,0.3121,0.2637,0.2662,0.3441,0.2898,0.1396,0.2558,0.2820,0.3069,1.0000,0.7401,0.8165,0.7448,0.1659,0.1647,0.2219,0.0619,0.1742,0.2248,0.0085,-0.0296,-0.0920,-0.0161,-0.0447,-0.0746,0.0599,0.0571,-0.0212,-0.1077,0.3695,0.3371,0.2478,0.3017,0.3919,0.3002,0.3221,0.2761,0.2087,0.2173,0.3720,0.2437,0.0149,-0.0023,0.0121,-0.0445,-0.0171,-0.0324,0.1334,0.1092,-0.0818,0.0178,-0.0286,0.2287,0.0704,0.1157,-0.1741,0.1057,-0.0586,0.0711,0.0502,0.0203,0.1173,-0.0795,0.0978,-0.1005,-0.0360,-0.0178,0.0887,0.1214,-0.0310,0.0332,0.1352,0.2178,-0.0093,0.1567,0.0979,0.2020,0.1230,0.1266,0.1996,0.0761
R020,0.2244,0.1027,0.1214,0.1985,0.2645,0.2841,0.1315,0.3459,0.1033,0.1971,0.2632,0.1909,0.2979,0.2597,0.0753,0.2598,0.2310,0.2031,0.7401,1.0000,0.8020,0.7040,0.2333,0.2379,0.2750,0.1592,0.1804,0.3073,0.1347,0.0917,0.0205,0.1365,0.0481,0.0201,0.1898,0.1509,0.1104,0.0152,0.2931,0.3279,0.1853,0.3007,0.3458,0.2815,0.2463,0.2490,0.2191,0.1719,0.3328,0.2575,0.0415,-0.0397,-0.0087,-0.0029,0.0168,0.0731,0.1264,0.2150,-0.0026,0.0246,-0.0472,0.2191,0.1271,0.1594,-0.1624,0.1909,-0.0849,0.0668,0.1889,0.1454,0.2499,-0.0002,0.2145,-0.0338,0.1063,0.1402,0.2613,0.1727,0.1323,0.1106,0.2520,0.2515,0.1200,0.2018,0.1772,0.3302,0.2342,0.2199,0.2937,0.1409
R021,0.2676,0.2101,0.1881,0.2119,0.2636,0.2811,0.1615,0.3842,0.1059,0.2840,0.2405,0.2187,0.2995,0.2170,0.1375,0.2122,0.2493,0.2748,0.8165,0.8020,1.0000,0.8060,0.1536,0.1502,0.1650,0.0461,0.1104,0.2038,0.1207,0.0543,0.0444,0.0976,0.0540,0.0276,0.2028,0.2061,0.0848,0.0098,0.4002,0.3592,0.2661,0.3203,0.4353,0.3160,0.2893,0.2595,0.2154,0.1538,0.3429,0.2594,0.0825,0.0151,0.0772,0.0440,-0.0003,0.0381,0.1096,0.1604,-0.0382,0.0121,-0.0185,0.2065,0.1371,0.1832,-0.1259,0.1448,-0.0724,0.1280,0.1295,0.0553,0.1558,-0.0145,0.1833,-0.0835,0.0185,0.0665,0.1268,0.2280,0.0147,0.0637,0.2787,0.2980,0.1168,0.2099,0.2407,0.3203,0.2311,0.2426,0.2739,0.1875
R022,0.2334,0.1961,0.1551,0.1813,0.2586,0.2737,0.1208,0.2643,0.1760,0.2574,0.2226,0.2120,0.2393,0.2038,0.0959,0.2528,0.2023,0.2575,0.7448,0.7040,0.8060,1.0000,0.0420,0.0848,0.1034,-0.0329,0.0189,0.0966,0.2708,0.1915,0.1568,0.2563,0.2231,0.1553,0.3170,0.3270,0.2479,0.1850,0.3752,0.3370,0.2170,0.3154,0.3426,0.3936,0.3271,0.3098,0.1899,0.1393,0.3355,0.2514,0.1791,0.1535,0.1151,0.0422,0.0612,0.1354,0.2539,0.2472,0.0188,0.1589,0.0988,0.2538,0.1730,0.1599,-0.0661,0.2054,-0.0279,0.1698,0.0726,0.1122,0.1332,-0.0780,0.1068,-0.1286,-0.0114,-0.0309,0.0681,0.1142,0.0087,0.0163,0.1851,0.1915,0.1310,0.2159,0.2496,0.2929,0.2588,0.3215,0.2210,0.2038
R023,0.4800,0.3648,0.3330,0.4992,0.4297,0.4424,0.4275,0.4495,0.3847,0.3739,0.3839,0.5314,0.5086,0.4757,0.3626,0.2819,0.5557,0.4625,0.1659,0.2333,0.1536,0.0420,1.0000,0.7994,0.7802,0.7921,0.8126,0.8320,0.0547,0.0709,0.0465,0.0014,0.0038,-0.0667,0.0530,0.0421,0.0557,-0.0156,0.3483,0.3345,0.2589,0.4117,0.4530,0.1561,0.3379,0.2500,0.3520,0.3260,0.2288,0.4002,-0.0674,0.1322,0.0281,0.0327,0.1426,0.0086,0.0508,-0.0706,-0.0198,-0.0355,0.0366,0.0620,0.0543,-0.0034,-0.0105,0.0781,0.0810,-0.0752,0.2881,0.2688,0.2897,0.3140,0.3412,0.3279,0.3464,0.3650,0.3920,0.3059,0.3010,0.2454,0.2090,0.1721,0.0177,0.1366,0.1347,0.0439,0.1226,0.2678,0.1570,0.1262
R024,0.3719,0.3306,0.3481,0.4944,0.3892,0.4115,0.3376,0.3857,0.3589,0.3847,0.4322,0.4767,0.4437,0.4286,0.4125,0.3142,0.4950,0.4383,0.1647,0.2379,0.1502,0.0848,0.7994,1.0000,0.7644,0.7680,0.7884,0.7977,0.1747,0.1268,0.1527,0.0768,0.0799,0.0699,0.1358,0.1640,0.1342,0.1360,0.3601,0.3989,0.3168,0.4423,0.4619,0.2300,0.3649,0.2838,0.3843,0.3426,0.3194,0.4242,0.0593,0.2253,0.0076,0.0903,0.1513,0.0990,0.1635,0.0130,0.0163,0.0757,0.1151,0.1429,0.1171,0.0525,0.0811,0.1663,0.0909,0.0141,0.2267,0.2063,0.3103,0.2820,0.2550,0.3013,0.2728,0.3672,0.2996,0.2338,0.2421,0.1689,0.2892,0.2048,0.1045,0.1987,0.2230,0.1272,0.2441,0.3132,0.3087,0.1343
R025,0.4777,0.3377,0.3707,0.5069,0.3251,0.4269,0.4231,0.4583,0.4079,0.3503,0.4252,0.5030,0.5110,0.4700,0.3592,0.3213,0.4574,0.4222,0.2219,0.2750,0.1650,0.1034,0.7802,0.7644,1.0000,0.7566,0.7478,0.7638,0.1484,0.1356,0.1300,0.0888,0.0742,0.0449,0.1315,0.1437,0.1206,0.0716,0.3525,0.3944,0.2917,0.4849,0.4508,0.1560,0.3952,0.2334,0.4045,0.3414,0.2985,0.3859,0.0278,0.1435,-0.0456,0.0099,0.1856,-0.0205,0.0765,0.0047,-0.0647,0.0517,0.0206,0.1024,0.1181,0.0146,-0.0172,0.0868,0.0289,-0.0201,0.2426,0.2722,0.2969,0.3186,0.3259,0.3250,0.2731,0.3473,0.3257,0.2667,0.3020,0.2046,0.1956,0.1934,0.0924,0.1642,0.1314,0.0662,0.2128,0.2445,0.2018,0.1530
R026,0.3094,0.2059,0.1998,0.3898,0.2242,0.3603,0.2917,0.2833,0.2739,0.2669,0.2715,0.3923,0.3449,0.2834,0.2875,0.1758,0.3873,0.2734,0.0619,0.1592,0.0461,-0.0329,0.7921,0.7680,0.7566,1.0000,0.8143,0.7663,0.1651,0.1734,0.1922,0.1559,0.0906,0.0423,0.1494,0.1735,0.1577,0.0978,0.3272,0.3510,0.2288,0.4071,0.4571,0.2046,0.3462,0.2794,0.3760,0.3398,0.2932,0.3421,0.0936,0.2214,0.0544,0.1225,0.2568,0.0946,0.1523,0.0070,0.0196,0.0620,0.0795,0.1605,0.0761,0.0395,0.1413,0.1708,0.0814,0.0467,0.2494,0.2553,0.3141,0.3521,0.2984,0.3819,0.2818,0.3733,0.3301,0.2937,0.2962,0.2278,0.2055,0.1880,0.0825,0.1357,0.1106,0.0537,0.1776,0.2231,0.1893,0.1194
R027,0.4564,0.3094,0.3100,0.4794,0.3997,0.4156,0.3967,0.4216,0.4423,0.3869,0.3785,0.4640,0.4639,0.4058,0.4490,0.2759,0.4776,0.4551,0.1742,0.1804,0.1104,0.0189,0.8126,0.7884,0.7478,0.8143,1.0000,0.7972,0.0517,0.0909,0.0709,-0.0103,0.0515,-0.0085,0.0717,0.0718,0.0798,0.0384,0.3621,0.3623,0.2704,0.4584,0.5177,0.2400,0.4191,0.3480,0.4509,0.3974,0.3659,0.4516,-0.0420,0.1446,0.0114,0.0768,0.1164,-0.0268,0.1212,-0.0173,-0.0598,0.0053,0.0057,0.0741,0.0344,-0.0364,-0.0097,0.0287,0.0222,-0.0862,0.2243,0.2120,0.3070,0.2993,0.2611,0.3004,0.2853,0.2826,0.2841,0.2467,0.2522,0.1641,0.1042,0.0396,-0.0628,0.0001,0.0288,-0.0379,0.0509,0.1298,0.0834,-0.0205
R028,0.4347,0.3000,0.3516,0.4800,0.4039,0.3987,0.3847,0.3925,0.3693,0.3777,0.4022,0.4873,0.4767,0.4316,0.3364,0.2940,0.4762,0.4032,0.2248,0.3073,0.2038,0.0966,0.8320,0.7977,0.7638,0.7663,0.7972,1.0000,0.0869,0.1598,0.0976,0.0700,0.0696,0.0075,0.0991,0.1333,0.1116,0.0589,0.3517,0.4083,0.2686,0.4778,0.4865,0.2272,0.3887,0.3167,0.4135,0.3501,0.3404,0.4427,0.0091,0.1753,0.0107,0.0434,0.1056,0.0236,0.1132,-0.0146,-0.0591,-0.0078,0.0063,0.1135,0.0542,0.0288,0.0194,0.0501,0.0584,-0.0641,0.2708,0.2593,0.3202,0.3270,0.3268,0.3380,0.3255,0.3376,0.3595,0.2530,0.2661,0.2369,0.2221,0.1582,0.0286,0.1439,0.0989,0.0815,0.1436,0.2162,0.2486,0.1099
